msa_name,pop_2018
"Las Vegas, NM Micro Area",27591
"Laurel, MS Micro Area",84889
"Laurinburg, NC Micro Area",34810
"Lawrenceburg, TN Micro Area",43734
"Lebanon, MO Micro Area",35713
"Levelland, TX Micro Area",22980
"Lewisburg, PA Micro Area",44785
"Lewisburg, TN Micro Area",33683
"Lewistown, PA Micro Area",46222
"Lexington, NE Micro Area",25705
"Liberal, KS Micro Area",21780
"Lincoln, IL Micro Area",28925
"Lock Haven, PA Micro Area",38684
"Logan, WV Micro Area",32607
"Logansport, IN Micro Area",37955
"London, KY Micro Area",128215
"Los Alamos, NM Micro Area",19101
"Ludington, MI Micro Area",29100
"Lufkin, TX Micro Area",87092
"Lumberton, NC Micro Area",131831
"Macomb, IL Micro Area",29955
"Madison, IN Micro Area",32208
"Madisonville, KY Micro Area",45068
"Magnolia, AR Micro Area",23537
"Malone, NY Micro Area",50293
"Malvern, AR Micro Area",33701
"Manitowoc, WI Micro Area",79074
"Marietta, OH Micro Area",60155
"Marinette, WI-MI Micro Area",63417
"Marion, IN Micro Area",65936
"Marion, NC Micro Area",45507
"Marion, OH Micro Area",65256
"Marquette, MI Micro Area",66516
"Marshall, MN Micro Area",25629
"Marshall, MO Micro Area",22895
"Marshall, TX Micro Area",66726
"Marshalltown, IA Micro Area",39981
"Martin, TN Micro Area",33415
"Martinsville, VA Micro Area",63855
"Maryville, MO Micro Area",22304
"Mason City, IA Micro Area",50100
"Mayfield, KY Micro Area",37317
"Maysville, KY Micro Area",17150
"McAlester, OK Micro Area",43877
"McComb, MS Micro Area",51889
"McMinnville, TN Micro Area",40878
"McPherson, KS Micro Area",28537
"Meadville, PA Micro Area",85063
"Menomonie, WI Micro Area",45131
"Meridian, MS Micro Area",100948
"Merrill, WI Micro Area",27689
"Mexico, MO Micro Area",25473
"Miami, OK Micro Area",31175
"Middlesborough, KY Micro Area",26569
"Milledgeville, GA Micro Area",53171
"Mineral Wells, TX Micro Area",28875
"Minot, ND Micro Area",75934
"Mitchell, SD Micro Area",23166
"Moberly, MO Micro Area",24763
"Montrose, CO Micro Area",42214
"Morehead City, NC Micro Area",69524
"Morgan City, LA Micro Area",49774
"Moscow, ID Micro Area",40134
"Moses Lake, WA Micro Area",97331
"Moultrie, GA Micro Area",45592
"Mountain Home, AR Micro Area",41619
"Mountain Home, ID Micro Area",27259
"Mount Airy, NC Micro Area",71948
"Mount Pleasant, MI Micro Area",70562
"Mount Pleasant, TX Micro Area",33033
"Mount Sterling, KY Micro Area",47037
"Mount Vernon, IL Micro Area",37820
"Mount Vernon, OH Micro Area",61893
"Murray, KY Micro Area",39135
"Muscatine, IA Micro Area",42929
"Muskogee, OK Micro Area",68362
"Nacogdoches, TX Micro Area",65711
"Natchez, MS-LA Micro Area",50764
"Natchitoches, LA Micro Area",38659
"Newberry, SC Micro Area",38520
"New Castle, IN Micro Area",48271
"New Castle, PA Micro Area",86184
"New Philadelphia-Dover, OH Micro Area",92176
"Newport, OR Micro Area",49388
"Newport, TN Micro Area",35774
"Newton, IA Micro Area",37147
"New Ulm, MN Micro Area",25111
"Nogales, AZ Micro Area",46511
"Norfolk, NE Micro Area",48504
"North Platte, NE Micro Area",36426
"North Vernon, IN Micro Area",27611
"North Wilkesboro, NC Micro Area",68557
"Norwalk, OH Micro Area",58504
"Oak Harbor, WA Micro Area",84460
"Ogdensburg-Massena, NY Micro Area",108047
"Oil City, PA Micro Area",51266
"Okeechobee, FL Micro Area",41537
"Olean, NY Micro Area",76840
"Oneonta, NY Micro Area",59749
"Ontario, OR-ID Micro Area",54276
"Opelousas, LA Micro Area",82764
"Orangeburg, SC Micro Area",86934
"Oskaloosa, IA Micro Area",22000
"Othello, WA Micro Area",19759
"Ottawa, KS Micro Area",25631
"Ottawa-Peru, IL Micro Area",148163
"Ottumwa, IA Micro Area",44222
"Owatonna, MN Micro Area",36803
"Owosso, MI Micro Area",68192
"Oxford, MS Micro Area",54793
"Oxford, NC Micro Area",60115
"Ozark, AL Micro Area",48956
"Paducah, KY-IL Micro Area",96647
"Pahrump, NV Micro Area",45346
"Palatka, FL Micro Area",74163
"Palestine, TX Micro Area",58057
"Pampa, TX Micro Area",21895
"Paragould, AR Micro Area",45325
"Paris, TN Micro Area",32358
"Paris, TX Micro Area",49728
"Parsons, KS Micro Area",19964
"Payson, AZ Micro Area",53889
"Pecos, TX Micro Area",15695
"Pella, IA Micro Area",33407
"Peru, IN Micro Area",35567
"Picayune, MS Micro Area",55387
"Pierre, SD Micro Area",22064
"Pinehurst-Southern Pines, NC Micro Area",98682
"Pittsburg, KS Micro Area",39019
"Plainview, TX Micro Area",33830
"Platteville, WI Micro Area",51554
"Plattsburgh, NY Micro Area",80695
"Plymouth, IN Micro Area",46248
"Point Pleasant, WV-OH Micro Area",56697
"Ponca City, OK Micro Area",44161
"Pontiac, IL Micro Area",35761
"Poplar Bluff, MO Micro Area",42639
"Portales, NM Micro Area",18743
"Port Angeles, WA Micro Area",76737
"Port Clinton, OH Micro Area",40769
"Port Lavaca, TX Micro Area",21561
"Portsmouth, OH Micro Area",75502
"Pottsville, PA Micro Area",142067
"Price, UT Micro Area",20269
"Prineville, OR Micro Area",23867
"Pullman, WA Micro Area",49791
"Quincy, IL-MO Micro Area",75546
"Raymondville, TX Micro Area",21515
"Red Bluff, CA Micro Area",63916
"Red Wing, MN Micro Area",46403
"Rexburg, ID Micro Area",52472
"Richmond, IN Micro Area",65936
"Richmond-Berea, KY Micro Area",109118
"Rio Grande City, TX Micro Area",64525
"Riverton, WY Micro Area",39531
"Roanoke Rapids, NC Micro Area",70250
"Rochelle, IL Micro Area",50923
"Rockingham, NC Micro Area",44887
"Rock Springs, WY Micro Area",43051
"Rolla, MO Micro Area",44732
"Roseburg, OR Micro Area",110283
"Roswell, NM Micro Area",64689
"Ruidoso, NM Micro Area",19556
"Russellville, AR Micro Area",85535
"Ruston, LA Micro Area",47196
"Rutland, VT Micro Area",58672
"Safford, AZ Micro Area",38072
"St. Marys, GA Micro Area",53677
"St. Marys, PA Micro Area",30169
"Salem, OH Micro Area",102665
"Salina, KS Micro Area",60203
"Sandpoint, ID Micro Area",44727
"Sandusky, OH Micro Area",74615
"Sanford, NC Micro Area",61452
"Sault Ste. Marie, MI Micro Area",37517
"Sayre, PA Micro Area",60833
"Scottsbluff, NE Micro Area",37906
"Scottsboro, AL Micro Area",51736
"Searcy, AR Micro Area",78727
"Sedalia, MO Micro Area",42542
"Selinsgrove, PA Micro Area",40540
"Selma, AL Micro Area",38310
"Seneca, SC Micro Area",78374
"Seneca Falls, NY Micro Area",34300
"Sevierville, TN Micro Area",97892
"Seymour, IN Micro Area",44111
"Shawano, WI Micro Area",45454
"Shawnee, OK Micro Area",72679
"Shelby, NC Micro Area",97645
"Shelbyville, TN Micro Area",49038
"Shelton, WA Micro Area",65507
"Sheridan, WY Micro Area",30233
"Show Low, AZ Micro Area",110445
"Sidney, OH Micro Area",48627
"Sikeston, MO Micro Area",38458
"Silver City, NM Micro Area",27346
"Snyder, TX Micro Area",16866
"Somerset, KY Micro Area",64623
"Somerset, PA Micro Area",73952
"Sonora, CA Micro Area",54539
"Spearfish, SD Micro Area",25741
"Spencer, IA Micro Area",16134
"Spirit Lake, IA Micro Area",17153
"Starkville, MS Micro Area",49599
"Statesboro, GA Micro Area",77296
"Steamboat Springs, CO Micro Area",25733
"Stephenville, TX Micro Area",42446
"Sterling, CO Micro Area",21528
"Sterling, IL Micro Area",55626
"Stevens Point, WI Micro Area",70942
"Stillwater, OK Micro Area",82040
"Storm Lake, IA Micro Area",19874
"Sturgis, MI Micro Area",61043
"Sulphur Springs, TX Micro Area",36810
"Summerville, GA Micro Area",24790
"Summit Park, UT Micro Area",41933
"Sunbury, PA Micro Area",91083
"Susanville, CA Micro Area",30802
"Sweetwater, TX Micro Area",14751
"Tahlequah, OK Micro Area",48675
"Talladega-Sylacauga, AL Micro Area",90543
"Taos, NM Micro Area",32835
"Taylorville, IL Micro Area",32661
"The Dalles, OR Micro Area",26505
"Thomaston, GA Micro Area",26215
"Thomasville, GA Micro Area",44448
"Tiffin, OH Micro Area",55207
"Tifton, GA Micro Area",40571
"Toccoa, GA Micro Area",26035
"Torrington, CT Micro Area",181111
"Traverse City, MI Micro Area",149914
"Troy, AL Micro Area",33338
"Truckee-Grass Valley, CA Micro Area",99696
"Tullahoma-Manchester, TN Micro Area",104001
"Tupelo, MS Micro Area",140552
"Ukiah, CA Micro Area",87606
"Union City, TN-KY Micro Area",36387
"Urbana, OH Micro Area",38754
"Uvalde, TX Micro Area",26846
"Valley, AL Micro Area",33615
"Van Wert, OH Micro Area",28281
"Vermillion, SD Micro Area",14041
"Vernal, UT Micro Area",35438
"Vernon, TX Micro Area",12820
"Vicksburg, MS Micro Area",55178
"Vidalia, GA Micro Area",36080
"Vincennes, IN Micro Area",36895
"Vineyard Haven, MA Micro Area",17352
"Wabash, IN Micro Area",31280
"Wahpeton, ND-MN Micro Area",22493
"Wapakoneta, OH Micro Area",45804
"Warren, PA Micro Area",39498
"Warrensburg, MO Micro Area",53652
"Warsaw, IN Micro Area",79344
"Washington, IN Micro Area",33147
"Washington, NC Micro Area",47079
"Washington Court House, OH Micro Area",28666
"Watertown, SD Micro Area",28015
"Watertown-Fort Atkinson, WI Micro Area",85129
"Wauchula, FL Micro Area",27245
"Waycross, GA Micro Area",55069
"Weatherford, OK Micro Area",29036
"West Plains, MO Micro Area",40076
"West Point, MS Micro Area",19386
"Whitewater-Elkhorn, WI Micro Area",103718
"Williston, ND Micro Area",35350
"Willmar, MN Micro Area",42855
"Wilmington, OH Micro Area",42057
"Wilson, NC Micro Area",81455
"Winnemucca, NV Micro Area",16786
"Winona, MN Micro Area",50825
"Wisconsin Rapids-Marshfield, WI Micro Area",73055
"Woodward, OK Micro Area",20222
"Wooster, OH Micro Area",115967
"Worthington, MN Micro Area",21924
"Yankton, SD Micro Area",22869
"Zanesville, OH Micro Area",86183
"Zapata, TX Micro Area",14190
Puerto Rico,3195153
In metropolitan statistical area,3054478
"Aguadilla-Isabela, PR Metro Area",289735
"Arecibo, PR Metro Area",174271
"Guayama, PR Metro Area",73000
"Mayagüez, PR Metro Area",87448
"Ponce, PR Metro Area",285709
"San Germán, PR Metro Area",121078
"San Juan-Carolina-Caguas, PR Metro Area",2023237
In micropolitan statistical area,117214
"Adjuntas, PR Micro Area",17302
"Coamo, PR Micro Area",37845
"Coco, PR Micro Area",27083
"Jayuya, PR Micro Area",13947
"Santa Isabel, PR Micro Area",21037
