msa_name,pop_2018
"Grants Pass, OR Metro Area",87393
"Great Falls, MT Metro Area",81643
"Greeley, CO Metro Area",314305
"Green Bay, WI Metro Area",321591
"Greensboro-High Point, NC Metro Area",767711
"Greenville, NC Metro Area",179914
"Greenville-Anderson-Mauldin, SC Metro Area",906626
"Gulfport-Biloxi-Pascagoula, MS Metro Area",397261
"Hagerstown-Martinsburg, MD-WV Metro Area",268049
"Hammond, LA Metro Area",133777
"Hanford-Corcoran, CA Metro Area",151366
"Harrisburg-Carlisle, PA Metro Area",574659
"Harrisonburg, VA Metro Area",135277
"Hartford-West Hartford-East Hartford, CT Metro Area",1206300
"Hattiesburg, MS Metro Area",149414
"Hickory-Lenoir-Morganton, NC Metro Area",368416
"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",217686
"Hinesville, GA Metro Area",80495
"Homosassa Springs, FL Metro Area",147929
"Hot Springs, AR Metro Area",99154
"Houma-Thibodaux, LA Metro Area",209136
"Houston-The Woodlands-Sugar Land, TX Metro Area",6997384
"Huntington-Ashland, WV-KY-OH Metro Area",352823
"Huntsville, AL Metro Area",462693
"Idaho Falls, ID Metro Area",148904
"Indianapolis-Carmel-Anderson, IN Metro Area",2048703
"Iowa City, IA Metro Area",173401
"Ithaca, NY Metro Area",102793
"Jackson, MI Metro Area",158823
"Jackson, MS Metro Area",580166
"Jackson, TN Metro Area",129209
"Jacksonville, FL Metro Area",1534701
"Jacksonville, NC Metro Area",197683
"Janesville-Beloit, WI Metro Area",163129
"Jefferson City, MO Metro Area",151520
"Johnson City, TN Metro Area",202719
"Johnstown, PA Metro Area",131730
"Jonesboro, AR Metro Area",132532
"Joplin, MO Metro Area",178902
"Kahului-Wailuku-Lahaina, HI Metro Area",167295
"Kalamazoo-Portage, MI Metro Area",340318
"Kankakee, IL Metro Area",110024
"Kansas City, MO-KS Metro Area",2143651
"Kennewick-Richland, WA Metro Area",296224
"Killeen-Temple, TX Metro Area",451679
"Kingsport-Bristol-Bristol, TN-VA Metro Area",306616
"Kingston, NY Metro Area",178599
"Knoxville, TN Metro Area",883309
"Kokomo, IN Metro Area",82366
"La Crosse-Onalaska, WI-MN Metro Area",136808
"Lafayette, LA Metro Area",489364
"Lafayette-West Lafayette, IN Metro Area",221828
"Lake Charles, LA Metro Area",210080
"Lake Havasu City-Kingman, AZ Metro Area",209550
"Lakeland-Winter Haven, FL Metro Area",708009
"Lancaster, PA Metro Area",543557
"Lansing-East Lansing, MI Metro Area",481893
"Laredo, TX Metro Area",275910
"Las Cruces, NM Metro Area",217522
"Las Vegas-Henderson-Paradise, NV Metro Area",2231647
"Lawrence, KS Metro Area",121436
"Lawton, OK Metro Area",126198
"Lebanon, PA Metro Area",141314
"Lewiston, ID-WA Metro Area",63018
"Lewiston-Auburn, ME Metro Area",107679
"Lexington-Fayette, KY Metro Area",516697
"Lima, OH Metro Area",102663
"Lincoln, NE Metro Area",334590
"Little Rock-North Little Rock-Conway, AR Metro Area",741104
"Logan, UT-ID Metro Area",140794
"Longview, TX Metro Area",219417
"Longview, WA Metro Area",108987
"Los Angeles-Long Beach-Anaheim, CA Metro Area",13291486
"Anaheim-Santa Ana-Irvine, CA Metro Division",3185968
"Los Angeles-Long Beach-Glendale, CA Metro Division",10105518
"Louisville/Jefferson County, KY-IN Metro Area",1297301
"Lubbock, TX Metro Area",319068
"Lynchburg, VA Metro Area",263353
"Macon-Bibb County, GA Metro Area",229737
"Madera, CA Metro Area",157672
"Madison, WI Metro Area",660422
"Manchester-Nashua, NH Metro Area",415247
"Manhattan, KS Metro Area",97980
"Mankato-North Mankato, MN Metro Area",101647
"Mansfield, OH Metro Area",121099
"McAllen-Edinburg-Mission, TX Metro Area",865939
"Medford, OR Metro Area",219564
"Memphis, TN-MS-AR Metro Area",1350620
"Merced, CA Metro Area",274765
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",6198782
"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metro Division",1951260
"Miami-Miami Beach-Kendall, FL Metro Division",2761581
"West Palm Beach-Boca Raton-Delray Beach, FL Metro Division",1485941
"Michigan City-La Porte, IN Metro Area",110007
"Midland, MI Metro Area",83209
"Midland, TX Metro Area",178331
"Milwaukee-Waukesha-West Allis, WI Metro Area",1576113
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3629190
"Missoula, MT Metro Area",118791
"Mobile, AL Metro Area",413757
"Modesto, CA Metro Area",549815
"Monroe, LA Metro Area",176805
"Monroe, MI Metro Area",150439
"Montgomery, AL Metro Area",373225
"Morgantown, WV Metro Area",140259
"Morristown, TN Metro Area",118581
"Mount Vernon-Anacortes, WA Metro Area",128206
"Muncie, IN Metro Area",114772
"Muskegon, MI Metro Area",173588
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",480891
"Napa, CA Metro Area",139417
"Naples-Immokalee-Marco Island, FL Metro Area",378488
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1930961
"New Bern, NC Metro Area",125219
"New Haven-Milford, CT Metro Area",857620
"New Orleans-Metairie, LA Metro Area",1270399
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",19979477
"Dutchess County-Putnam County, NY Metro Division",392610
"Nassau County-Suffolk County, NY Metro Division",2839436
"Newark, NJ-PA Metro Division",2504672
"New York-Jersey City-White Plains, NY-NJ Metro Division",14242759
"Niles-Benton Harbor, MI Metro Area",154141
"North Port-Sarasota-Bradenton, FL Metro Area",821573
"Norwich-New London, CT Metro Area",266784
"Ocala, FL Metro Area",359977
"Ocean City, NJ Metro Area",92560
"Odessa, TX Metro Area",162124
"Ogden-Clearfield, UT Metro Area",675067
"Oklahoma City, OK Metro Area",1396445
"Olympia-Tumwater, WA Metro Area",286419
"Omaha-Council Bluffs, NE-IA Metro Area",942198
"Orlando-Kissimmee-Sanford, FL Metro Area",2572962
"Oshkosh-Neenah, WI Metro Area",171020
"Owensboro, KY Metro Area",119114
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",850967
"Palm Bay-Melbourne-Titusville, FL Metro Area",596849
"Panama City, FL Metro Area",201451
"Parkersburg-Vienna, WV Metro Area",90033
"Pensacola-Ferry Pass-Brent, FL Metro Area",494883
"Peoria, IL Metro Area",368373
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6096372
"Camden, NJ Metro Division",1243870
"Montgomery County-Bucks County-Chester County, PA Metro Division",1978845
"Philadelphia, PA Metro Division",2148889
"Wilmington, DE-MD-NJ Metro Division",724768
"Phoenix-Mesa-Scottsdale, AZ Metro Area",4857962
"Pine Bluff, AR Metro Area",89515
"Pittsburgh, PA Metro Area",2324743
"Pittsfield, MA Metro Area",126348
"Pocatello, ID Metro Area",87138
"Portland-South Portland, ME Metro Area",535420
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2478810
"Port St. Lucie, FL Metro Area",482040
"Prescott, AZ Metro Area",231993
"Providence-Warwick, RI-MA Metro Area",1621337
"Provo-Orem, UT Metro Area",633768
"Pueblo, CO Metro Area",167529
"Punta Gorda, FL Metro Area",184998
"Racine, WI Metro Area",196584
"Raleigh, NC Metro Area",1362540
"Rapid City, SD Metro Area",148749
"Reading, PA Metro Area",420152
"Redding, CA Metro Area",180040
"Reno, NV Metro Area",469764
"Richmond, VA Metro Area",1306172
"Riverside-San Bernardino-Ontario, CA Metro Area",4622361
"Roanoke, VA Metro Area",314172
"Rochester, MN Metro Area",219802
"Rochester, NY Metro Area",1071082
"Rockford, IL Metro Area",337658
"Rocky Mount, NC Metro Area",146021
"Rome, GA Metro Area",97927
"Sacramento--Roseville--Arden-Arcade, CA Metro Area",2345210
"Saginaw, MI Metro Area",190800
"St. Cloud, MN Metro Area",199801
"St. George, UT Metro Area",171700
"St. Joseph, MO-KS Metro Area",126490
"St. Louis, MO-IL Metro Area",2805465
"Salem, OR Metro Area",432102
"Salinas, CA Metro Area",435594
"Salisbury, MD-DE Metro Area",409979
"Salt Lake City, UT Metro Area",1222540
"San Angelo, TX Metro Area",119711
"San Antonio-New Braunfels, TX Metro Area",2518036
"San Diego-Carlsbad, CA Metro Area",3343364
"San Francisco-Oakland-Hayward, CA Metro Area",4729484
"Oakland-Hayward-Berkeley, CA Metro Division",2816968
"San Francisco-Redwood City-South San Francisco, CA Metro Division",1652850
"San Rafael, CA Metro Division",259666
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1999107
"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",284010
"Santa Cruz-Watsonville, CA Metro Area",274255
"Santa Fe, NM Metro Area",150056
"Santa Maria-Santa Barbara, CA Metro Area",446527
"Santa Rosa, CA Metro Area",499942
"Savannah, GA Metro Area",389494
"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",555485
"Seattle-Tacoma-Bellevue, WA Metro Area",3939363
