,Unnamed: 0_x,address,city,country_left,event_date,event_name,genre,is_presale,latitude_left,longitude_left,max_tickets,num_markets,onsale_date,postalCode,price_max,price_min,sold_out,state,subgenre,url,venue_name_left,Unnamed: 0_y,Venue,City,Capacity,popularity_sk,headliner,support,event_time,id_y,street,zip,metro_area,country_right,city_name
4649,118,1817 3rd Ave. North,Birmingham,US,2019-08-11 19:00:00+00:00,Gone with the Wind,Music,0,33.515078,-86.80918,,1.0,2019-02-15 16:00:00+00:00,35203,9.0,9.0,0.0,AL,Music,https://www.ticketmaster.com/gone-with-the-wind-birmingham-alabama-08-11-2019/event/2000564DB5098D9A,Alabama Theatre,0.0,Alabama Theatre,Birmingham,"2,176",0.06439600000000001,Chris Tomlin,,2019-12-11 19:30:00-06:00,1354,1817 3rd Avenue North,35203,Birmingham,US,Birmingham
132920,13,5400 North River Road,Rosemont,US,2019-08-30 00:00:00+00:00,Nickelodeon's JoJo Siwa D.R.E.A.M. The Tour,Pop,1,41.976641,-87.86369,6,1.0,2019-06-14 15:00:00+00:00,60018,67.5,37.5,0.0,IL,Pop,https://www.ticketmaster.com/nickelodeons-jojo-siwa-dream-the-tour-rosemont-illinois-08-29-2019/event/040056B798B82410,Rosemont Theatre,214.0,Rosemont Theatre,Rosemont,"4,400",0.002378,The Australian Pink Floyd Show,,2019-08-30 20:00:00-05:00,1540798,5400 N River Rd,60018,Chicago,US,Rosemont
323431,160,550 West Hersheypark Drive,Hershey,US,2019-10-04 22:30:00+00:00,Disturbed: Evolution Tour,Metal,1,40.285717,-76.6758748,,1.0,2019-03-29 14:00:00+00:00,17033,847.15,17.15,0.0,PA,Nu-Metal,https://www.ticketmaster.com/disturbed-evolution-tour-hershey-pennsylvania-10-04-2019/event/0200567384671B34,Giant Center,531.0,Giant Center,Hershey,"12,500",0.18750799999999998,Disturbed,In This Moment,2019-10-04 19:30:00-04:00,948,550 Hersheypark Dr,17033,Baltimore,US,Hershey
27375,53,1807 Telegraph Ave,Oakland,US,2019-12-11 04:00:00+00:00,Conan Gray,Rock,1,37.8077176,-122.2700597,,1.0,2019-06-07 17:00:00+00:00,94612,39.5,29.5,0.0,CA,Pop,https://www.ticketmaster.com/conan-gray-oakland-california-12-10-2019/event/1C0056B7B3DF3DF2,Fox Oakland Theatre,99.0,Fox Oakland Theatre,Oakland,"2,800",0.06154,Michael Franti & Spearhead,Devon Gilfillian,2019-10-11 20:00:00-07:00,953251,1807 Telegraph Ave,94612,SF Bay Area,US,Oakland
237573,1,200 West Nationwide Blvd.,Columbus,US,2019-08-14 00:00:00+00:00,Queen + Adam Lambert: The Rhapsody Tour,Rock,1,39.96939661,-83.00636203,6,2.0,2018-12-07 15:00:00+00:00,43215,175.0,68.0,0.0,OH,Pop,https://www.ticketmaster.com/queen-adam-lambert-the-rhapsody-tour-columbus-ohio-08-13-2019/event/0500557DA97927A7,Nationwide Arena,494.0,Nationwide Arena,Columbus,"21,000",0.034779000000000004,Bob Seger & The Silver Bullet Band,,,522,200 West Nationwide Boulevard,43215,Columbus,US,Columbus
146114,190,201 SW Jefferson St.,Peoria,US,2020-03-06 02:00:00+00:00,Joe Bonamassa,Blues,1,40.6919471,-89.5919753,,2.0,2019-07-26 15:00:00+00:00,61602,149.0,69.0,0.0,IL,Blues,https://www.ticketmaster.com/joe-bonamassa-peoria-illinois-03-05-2020/event/070056EBA5CB42A1,Peoria Civic Center,212.0,Peoria Civic Center,Peoria,"12,036",0.12878900000000001,Toto,,2019-10-02 19:30:00-05:00,3130764,201 SW Jefferson Ave,61602,Aurora,US,Peoria
146620,32,201 SW Jefferson St.,Peoria,US,2020-03-06 02:00:00+00:00,Joe Bonamassa,Blues,1,40.6919471,-89.5919753,,2.0,2019-07-26 15:00:00+00:00,61602,149.0,69.0,0.0,IL,Blues,https://www.ticketmaster.com/joe-bonamassa-peoria-illinois-03-05-2020/event/070056EBA5CB42A1,Peoria Civic Center,212.0,Peoria Civic Center,Peoria,"12,036",0.12878900000000001,Toto,,2019-10-02 19:30:00-05:00,3130764,201 SW Jefferson Ave,61602,Aurora,US,Peoria
304061,9,6161 Delmar,St Louis,US,2019-11-04 02:00:00+00:00,Melanie Martinez: The K-12 Tour,Rock,1,38.655624,-90.297912,,1.0,2019-08-09 15:00:00+00:00,63112,151.0,36.0,0.0,MO,Pop,https://www.ticketmaster.com/melanie-martinez-the-k12-tour-st-louis-missouri-11-03-2019/event/060056F8D4795840,The Pageant,365.0,The Pageant,St. Louis,"2,300[23]",0.008812,Ludo,,2019-11-02 19:30:00-05:00,1231,6161 Delmar,63112,St Louis,US,St Louis
245240,141,405 Neil Avenue,Columbus,US,2019-09-05 23:00:00+00:00,Judah & the Lion: Pep Talks World Wide Tour 2019,Folk,1,39.96974489,-83.01006759,,1.0,2019-03-08 15:00:00+00:00,43215,32.0,32.0,0.0,OH,Indie Folk,https://www.ticketmaster.com/judah-the-lion-pep-talks-world-columbus-ohio-09-05-2019/event/0500565C26BCAC04,Express Live!,497.0,Express Live!,Columbus,"5,000",0.01889,Judah & the Lion,,2019-09-05 19:00:00-04:00,777,405 Neil Avenue,43215,Columbus,US,Columbus
16832,155,2695 E. Katella,Anaheim,US,2019-09-12 03:00:00+00:00,Premium Level - Elton John: Farewell Yellow Brick Road,Rock,0,33.80780364,-117.87653112,,1.0,2018-04-20 17:00:00+00:00,92806,249.5,149.5,0.0,CA,Pop,https://www.ticketmaster.com/premium-level-elton-john-farewell-yellow-anaheim-california-09-11-2019/event/0900546CA9943C37,Honda Center,33.0,Honda Center,Anaheim,"18,325 ",0.063552,Jimmy Buffett,,2019-10-12 20:00:00-07:00,6787,2695 E. Katella Ave.,92806,Los Angeles,US,Anaheim
