,datetime_local,is_ga,id,popularity_sg,short_title,tm_date,tm_event,listing_count,average_price,median_price,lowest_price,headliner,is_ga,event_name,price_min,price_max,max_tickets,venue_name,postalCode,city,state,country,address,longitude,latitude,num_markets,genre,subgenre,event_date,is_presale,days_event,day_of_week,date
14,2019-12-13T20:00:00,False,4963171,0.0,Delbert McClinton,2019-12-13 01:00:00+00:00,Delbert McClinton,22.0,75.0,79.0,60.0,Delbert McClinton,0.0,Delbert McClinton,30.0,55.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Blues,Blues,2019-12-13 01:00:00+00:00,0,97.0,4.0,2019-12-13 01:00:00+00:00
15,2019-12-05T20:00:00,False,4931555,0.346,Josh Abbott Band,2019-12-05 01:00:00+00:00,Josh Abbott Band,32.0,87.0,55.0,36.0,Josh Abbott Band,0.0,Josh Abbott Band,20.0,20.0,10,Mercury Ballroom,40202,Louisville,KY,US,611 S 4th Street,-85.75788997,38.24851446,1.0,Country,Country,2019-12-05 01:00:00+00:00,1,138.0,3.0,2019-12-05 01:00:00+00:00
16,2019-12-13T21:00:00,False,4935833,0.445,Southern Accents,2019-12-13 02:00:00+00:00,Southern Accents,19.0,49.0,33.0,20.0,Southern Accents,0.0,Southern Accents,10.0,10.0,10,Mercury Ballroom,40202,Louisville,KY,US,611 S 4th Street,-85.75788997,38.24851446,1.0,Undefined,Undefined,2019-12-13 02:00:00+00:00,1,139.0,4.0,2019-12-13 02:00:00+00:00
17,2019-11-15T21:00:00,False,4989422,0.338,Satisfaction - International Rolling Stones Tribute Show,2019-11-15 02:00:00+00:00,Satisfaction - International Rolling Stones Tribute Show,15.0,45.0,40.0,25.0,Satisfaction,0.0,Satisfaction - International Rolling Stones Tribute Show,10.0,10.0,10,Mercury Ballroom,40202,Louisville,KY,US,611 S 4th Street,-85.75788997,38.24851446,1.0,Undefined,Undefined,2019-11-15 02:00:00+00:00,1,97.0,4.0,2019-11-15 02:00:00+00:00
18,2019-11-19T20:00:00,False,4970490,0.242,Vintage Trouble with Kyle Daniel,2019-11-19 01:00:00+00:00,Vintage Trouble,19.0,51.0,50.0,38.0,Vintage Trouble,0.0,Vintage Trouble,20.0,20.0,10,Mercury Ballroom,40202,Louisville,KY,US,611 S 4th Street,-85.75788997,38.24851446,1.0,R&B,Soul,2019-11-19 01:00:00+00:00,1,87.0,1.0,2019-11-19 01:00:00+00:00
19,2019-11-22T21:00:00,False,4981790,0.456,Tripping Billies: The Dave Matthews Band Tribute,2019-11-22 02:00:00+00:00,Trippin Billies: The Dave Matthews Band Tribute,26.0,100.0,83.0,23.0,Trippin Billies,0.0,Trippin Billies: The Dave Matthews Band Tribute,12.0,12.0,10,Mercury Ballroom,40202,Louisville,KY,US,611 S 4th Street,-85.75788997,38.24851446,1.0,Undefined,Undefined,2019-11-22 02:00:00+00:00,1,76.0,4.0,2019-11-22 02:00:00+00:00
20,2019-12-07T21:00:00,True,4954568,0.305,Dopapod,2019-12-07 02:00:00+00:00,Dopapod,7.0,64.0,62.0,55.0,Dopapod,1.0,Dopapod,18.0,22.0,10,Madison Theater,41011,Covington,KY,US,730 Madison Avenue,-84.509506,39.082688,1.0,R&B,R&B,2019-12-07 02:00:00+00:00,0,119.0,5.0,2019-12-07 02:00:00+00:00
21,2019-11-09T19:00:00,False,4963181,0.0,Street Corner Symphony,2019-11-09 00:00:00+00:00,Street Corner Symphony,1.0,77.0,77.0,77.0,Street Corner Symphony,0.0,Street Corner Symphony,37.5,37.5,10,Appalachian Center for the Arts,41501,Pikeville,KY,US,218 2nd Street,-82.5169,37.482104,1.0,Other,Other,2019-11-09 00:00:00+00:00,0,84.0,5.0,2019-11-09 00:00:00+00:00
22,2019-10-05T19:30:00,False,4983118,0.0,Heart of Kentucky,2019-10-25 23:30:00+00:00,Heart of Kentucky,9.0,36.0,35.0,31.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-25 23:30:00+00:00,0,51.0,4.0,2019-10-25 23:30:00+00:00
23,2019-10-12T19:30:00,False,4983120,0.0,Heart of Kentucky,2019-10-25 23:30:00+00:00,Heart of Kentucky,27.0,42.0,45.0,31.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-25 23:30:00+00:00,0,51.0,4.0,2019-10-25 23:30:00+00:00
24,2019-10-19T19:30:00,False,4983124,0.0,Heart of Kentucky,2019-10-25 23:30:00+00:00,Heart of Kentucky,30.0,43.0,45.0,31.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-25 23:30:00+00:00,0,51.0,4.0,2019-10-25 23:30:00+00:00
25,2019-10-26T19:30:00,False,4983123,0.0,Heart of Kentucky,2019-10-25 23:30:00+00:00,Heart of Kentucky,31.0,43.0,45.0,31.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-25 23:30:00+00:00,0,51.0,4.0,2019-10-25 23:30:00+00:00
26,2019-11-02T19:30:00,False,5013835,0.0,Heart of Kentucky,2019-10-25 23:30:00+00:00,Heart of Kentucky,4.0,25.0,25.0,25.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-25 23:30:00+00:00,0,51.0,4.0,2019-10-25 23:30:00+00:00
27,2019-11-09T19:30:00,False,5013830,0.0,Heart of Kentucky,2019-10-25 23:30:00+00:00,Heart of Kentucky,4.0,25.0,25.0,25.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-25 23:30:00+00:00,0,51.0,4.0,2019-10-25 23:30:00+00:00
28,2019-11-16T19:30:00,False,5013834,0.0,Heart of Kentucky,2019-10-25 23:30:00+00:00,Heart of Kentucky,4.0,25.0,25.0,25.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-25 23:30:00+00:00,0,51.0,4.0,2019-10-25 23:30:00+00:00
29,2019-11-23T19:30:00,False,5013833,0.0,Heart of Kentucky,2019-10-25 23:30:00+00:00,Heart of Kentucky,4.0,25.0,25.0,25.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-25 23:30:00+00:00,0,51.0,4.0,2019-10-25 23:30:00+00:00
30,2019-11-30T19:30:00,False,5013831,0.0,Heart of Kentucky,2019-10-25 23:30:00+00:00,Heart of Kentucky,4.0,25.0,25.0,25.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-25 23:30:00+00:00,0,51.0,4.0,2019-10-25 23:30:00+00:00
31,2019-10-05T19:30:00,False,4983118,0.0,Heart of Kentucky,2019-10-11 23:30:00+00:00,Heart of Kentucky,9.0,36.0,35.0,31.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-11 23:30:00+00:00,0,37.0,4.0,2019-10-11 23:30:00+00:00
32,2019-10-12T19:30:00,False,4983120,0.0,Heart of Kentucky,2019-10-11 23:30:00+00:00,Heart of Kentucky,27.0,42.0,45.0,31.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-11 23:30:00+00:00,0,37.0,4.0,2019-10-11 23:30:00+00:00
33,2019-10-19T19:30:00,False,4983124,0.0,Heart of Kentucky,2019-10-11 23:30:00+00:00,Heart of Kentucky,30.0,43.0,45.0,31.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-11 23:30:00+00:00,0,37.0,4.0,2019-10-11 23:30:00+00:00
34,2019-10-26T19:30:00,False,4983123,0.0,Heart of Kentucky,2019-10-11 23:30:00+00:00,Heart of Kentucky,31.0,43.0,45.0,31.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-11 23:30:00+00:00,0,37.0,4.0,2019-10-11 23:30:00+00:00
35,2019-11-02T19:30:00,False,5013835,0.0,Heart of Kentucky,2019-10-11 23:30:00+00:00,Heart of Kentucky,4.0,25.0,25.0,25.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-11 23:30:00+00:00,0,37.0,4.0,2019-10-11 23:30:00+00:00
36,2019-11-09T19:30:00,False,5013830,0.0,Heart of Kentucky,2019-10-11 23:30:00+00:00,Heart of Kentucky,4.0,25.0,25.0,25.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-11 23:30:00+00:00,0,37.0,4.0,2019-10-11 23:30:00+00:00
