,is_ga,popularity_sg,short_title,listing_count,average_price,median_price,lowest_price,venue_name,venue_popularity,venue_address,venue_city,venue_state,venue_zip,venue_id,headliner
10786,0.0,0.444,80s In the Dells - Friday,,,,,Crystal Grand Music Theatre,0,430 W Munroe Ave,Wisconsin Dells,WI,53965,1831,80s In the Dells - Friday
10787,1.0,0.0,River Roast 2019,,,,,The Charmant Hotel,0,101 State Street,La Crosse,WI,54601,300844,River Roast 2019
10788,1.0,0.0,BoDeans,,,,,Leach Amphitheater,0,303 Ceape Ave,Oshkosh,WI,54903,10189,BoDeans
10789,1.0,0.0,Keller Williams with Sol Dance,,,,,Tanner's,0,730 S Railroad St.,Kimberly,WI,54963,34338,Keller Williams
10790,0.0,0.0,Beast Coast with Joey Bada$$ and NYCk Caution and Kirk Knight and The Underachievers,4.0,99.0,91.0,90.0,The Rave,0,2401 West Wisconsin Avenue,Milwaukee,WI,53233,9057,Joey Bada$$
10791,0.0,0.522,James Hunter,,,,,Majestic Theatre,0,115 King Street,Madison,WI,53703,3515,James Hunter
10792,0.0,0.57,Joey Bada$$ with Flatbush Zombies and The Underachievers,5.0,109.0,98.0,88.0,Eagles Ballroom,0,2401 West Wisconsin Avenue,Milwaukee,WI,53233,542,Joey Bada$$
10793,0.0,0.0,The Marshall Tucker Band,1.0,148.0,148.0,148.0,Big Top Chautauqua,0,32525 Ski Hill Road,Bayfield,WI,54814,5885,The Marshall Tucker Band
10794,1.0,0.523,The Mighty Mighty Bosstones with Bedouin Soundclash,1.0,137.0,137.0,137.0,Eagles Ballroom,0,2401 West Wisconsin Avenue,Milwaukee,WI,53233,542,The Mighty Mighty Bosstones
10795,0.0,0.562,Ben Harper with Trombone Shorty,14.0,144.0,155.0,87.0,Riverside Theatre,0,116 West Wisconsin Avenue,Milwaukee,WI,53203,623,Ben Harper
10796,0.0,0.44,80s In the Dells - Friday,,,,,Crystal Grand Music Theatre,0,430 W Munroe Ave,Wisconsin Dells,WI,53965,1831,80s In the Dells - Friday
10797,0.0,0.0,Village People,1.0,92.0,92.0,92.0,Ho-Chunk Gaming-WI-Dells,0,S3214 Hwy 12,Baraboo,WI,53913,9437,Village People
10798,0.0,0.479,The Hodag & Scooby Dude,9.0,83.0,83.0,81.0,Meyer Theatre,0,117 South Washington Street,Green Bay,WI,54301,3156,The Hodag & Scooby Dude
10799,0.0,0.0,Mason Jennings,,,,,Colectivo Coffee,0,221 N Prospect Ave,Milwaukee,WI,53202,110195,Mason Jennings
10800,1.0,0.0,Jantsen,,,,,The Red Zone,0,1212 Regent Street,Madison,WI,53715,4935,Jantsen
10801,0.0,0.0,Lost Dog Street Band (18+),1.0,59.0,59.0,59.0,High Noon Saloon,0,701 E. Washington Ave,Madison,WI,53703,4836,Lost Dog Street Band
10802,0.0,0.48,The Hodag & Scooby Dude,9.0,83.0,83.0,81.0,Meyer Theatre,0,117 South Washington Street,Green Bay,WI,54301,3156,The Hodag & Scooby Dude
10803,0.0,0.451,80s In the Dells - Friday,4.0,184.0,175.0,175.0,Crystal Grand Music Theatre,0,430 W Munroe Ave,Wisconsin Dells,WI,53965,1831,80s In the Dells - Friday
10804,0.0,0.0,Brian Setzer's Rockabilly Riot,4.0,135.0,121.0,116.0,Big Top Chautauqua,0,32525 Ski Hill Road,Bayfield,WI,54814,5885,Brian Setzer's Rockabilly Riot
10805,1.0,0.0,The Iron Maidens (18+),2.0,45.0,44.0,44.0,Route 20 Outhouse,0,14001 Washington Ave,Sturtevant,WI,53177,35932,The Iron Maidens
10806,0.0,0.474,The Hodag & Scooby Dude,20.0,76.0,60.0,60.0,Meyer Theatre,0,117 South Washington Street,Green Bay,WI,54301,3156,The Hodag & Scooby Dude
10807,0.0,0.545,Little River Band,16.0,140.0,125.0,92.0,Pabst Theater,0,144 E Wells St,Milwaukee,WI,53202,550,Little River Band
10808,0.0,0.0,Over The Rhine,,,,,Colectivo Coffee,0,221 N Prospect Ave,Milwaukee,WI,53202,110195,Over The Rhine
10809,1.0,0.0,Lights Over Bridgeport,,,,,Lyric Room,0,231 North Broadway,Green Bay,WI,54303,59043,Lights Over Bridgeport
10810,0.0,0.0,Pork Tornado,5.0,48.0,42.0,40.0,The Sylvee,0,25 S. Livingston Street,Madison,WI,53703,448545,Pork Tornado
10811,0.0,0.57,Dionne Warwick with Peabo Bryson,83.0,173.0,157.0,96.0,Milwaukee Theatre,0,500 West Kilbourn Avenue,Milwaukee,WI,53203,787,Dionne Warwick
10812,0.0,0.548,Shakey Graves with Dr. Dog,15.0,87.0,86.0,76.0,Riverside Theatre,0,116 West Wisconsin Avenue,Milwaukee,WI,53203,623,Dr. Dog
10813,1.0,0.0,Matt Wertz,3.0,67.0,51.0,51.0,Colectivo Coffee,0,221 N Prospect Ave,Milwaukee,WI,53202,110195,Matt Wertz
10814,1.0,0.62,Stray Cats (21+),2.0,59.0,56.0,56.0,Shank Hall,0,1434 N. Farwell Ave.,Milwaukee,WI,53202,668,Stray Cats
10815,1.0,0.439,Albert Castiglia (21+),1.0,50.0,50.0,50.0,Shank Hall,0,1434 N. Farwell Ave.,Milwaukee,WI,53202,668,Albert Castiglia
10816,1.0,0.0,Empress Of,1.0,73.0,73.0,73.0,Colectivo Coffee,0,221 N Prospect Ave,Milwaukee,WI,53202,110195,Empress Of
10817,0.0,0.0,Flying Lotus,29.0,103.0,72.0,57.0,The Sylvee,0,25 S. Livingston Street,Madison,WI,53703,448545,Flying Lotus
10818,0.0,0.605,Buddy Guy with Kenny Wayne Shepherd,13.0,151.0,157.0,117.0,Riverside Theatre,0,116 West Wisconsin Avenue,Milwaukee,WI,53203,623,Buddy Guy
10819,1.0,0.0,Fourth Friday Jazz,,,,,The Ballroom At The Reserve,0,116 South Commercial Street,Neenah,WI,54956,341179,Fourth Friday Jazz
10820,0.0,0.665,Hootie & The Blowfish with Barenaked Ladies,158.0,262.0,221.0,36.0,Alpine Valley Music Theatre,0,2699 Highway D,Elkhorn,WI,53121,57,Barenaked Ladies
10821,1.0,0.0,The Quebe Sisters,1.0,64.0,64.0,64.0,Colectivo Coffee,0,221 N Prospect Ave,Milwaukee,WI,53202,110195,The Quebe Sisters
10822,0.0,0.0,Black Flag,9.0,179.0,167.0,72.0,Milwaukee Turner Hall Ballroom,0,1034 North 4th Street,Milwaukee,WI,53203,76028,Black Flag
10823,0.0,0.556,King Gizzard & The Lizard Wizard,21.0,119.0,98.0,77.0,Riverside Theatre,0,116 West Wisconsin Avenue,Milwaukee,WI,53203,623,King Gizzard & The Lizard Wizard
10824,1.0,0.0,Blunts & Blondes,,,,,Miramar Theatre,0,2844 N Oakland Ave,Milwaukee,WI,53211,1547,Blunts & Blondes
10825,0.0,0.0,Michael Franti & Spearhead with Brett Dennen,19.0,125.0,116.0,64.0,The Sylvee,0,25 S. Livingston Street,Madison,WI,53703,448545,Brett Dennen
10826,0.0,0.0,David Crosby,,,,,Big Top Chautauqua,0,32525 Ski Hill Road,Bayfield,WI,54814,5885,David Crosby
10827,0.0,0.515,Kevin Gates,14.0,88.0,81.0,73.0,Eagles Ballroom,0,2401 West Wisconsin Avenue,Milwaukee,WI,53233,542,Kevin Gates
10828,0.0,0.617,Daryl Hall & John Oates,109.0,183.0,132.0,72.0,Breese Stevens Field,0,917 E Mifflin St,Madison,WI,53703,78731,Daryl Hall & John Oates
10829,1.0,0.0,Matt Maeson (18+),8.0,50.0,45.0,38.0,High Noon Saloon,0,701 E. Washington Ave,Madison,WI,53703,4836,Matt Maeson
10830,0.0,0.0,Phantogram with Bob Moses,30.0,120.0,84.0,57.0,The Sylvee,0,25 S. Livingston Street,Madison,WI,53703,448545,Phantogram
10831,0.0,0.495,Ben Sidran with Leo Sidran,,,,,Majestic Theatre,0,115 King Street,Madison,WI,53703,3515,Ben Sidran
10832,1.0,0.0,Brandi Carlile,20.0,178.0,167.0,110.0,Big Top Chautauqua,0,32525 Ski Hill Road,Bayfield,WI,54814,5885,Brandi Carlile
10833,0.0,0.588,Macy Gray (21+),24.0,126.0,107.0,93.0,Potawatomi Casino-Northern Lights Theatre,0,1721 West Canal Street,Milwaukee,WI,53233,978,Macy Gray
10834,0.0,0.0,Dirtwire,,,,,High Noon Saloon,0,701 E. Washington Ave,Madison,WI,53703,4836,Dirtwire
10835,0.0,0.0,Features Fest Xii,,,,,Features Sports Bar and Grill,0,1425 Wisconsin 16,West Salem,WI,54669,377715,Features Fest Xii
10836,1.0,0.0,Brandi Carlile,10.0,146.0,160.0,95.0,Big Top Chautauqua,0,32525 Ski Hill Road,Bayfield,WI,54814,5885,Brandi Carlile
10837,0.0,0.532,Toad the Wet Sprocket,,,,,Pabst Theater,0,144 E Wells St,Milwaukee,WI,53202,550,Toad the Wet Sprocket
10838,0.0,0.0,Nahko and Medicine for the People with Nattali Rize,31.0,114.0,83.0,54.0,The Sylvee,0,25 S. Livingston Street,Madison,WI,53703,448545,Nahko and Medicine for the People
10839,0.0,0.368,Them Coulee Boys,6.0,110.0,100.0,30.0,Turner Hall Ballroom,0,1032 North 4th Street,Milwaukee,WI,53203,3728,Them Coulee Boys
10840,0.0,0.482,Jose Gonzalez,1.0,73.0,73.0,73.0,Pabst Theater,0,144 E Wells St,Milwaukee,WI,53202,550,José González
10841,0.0,0.552,Gary Allan,4.0,272.0,239.0,226.0,Eagles Ballroom,0,2401 West Wisconsin Avenue,Milwaukee,WI,53233,542,Gary Allan
10842,0.0,0.616,Mark Knopfler,25.0,588.0,513.0,372.0,Riverside Theatre,0,116 West Wisconsin Avenue,Milwaukee,WI,53203,623,Mark Knopfler
10843,0.0,0.0,The Schwag,,,,,High Noon Saloon,0,701 E. Washington Ave,Madison,WI,53703,4836,The Schwag
10844,0.0,0.504,Squeeze,4.0,134.0,95.0,89.0,Pabst Theater,0,144 E Wells St,Milwaukee,WI,53202,550,Squeeze
10845,0.0,0.0,St. Paul & The Broken Bones,33.0,108.0,95.0,60.0,The Sylvee,0,25 S. Livingston Street,Madison,WI,53703,448545,St. Paul & The Broken Bones
10846,1.0,0.0,Chris Shiflett,,,,,Colectivo Coffee,0,221 N Prospect Ave,Milwaukee,WI,53202,110195,Chris Shiflett
10847,0.0,0.0,Tesla,55.0,87.0,82.0,64.0,Menominee Nation Arena,0,1212 S Main St,Oshkosh,WI,54902,437596,Tesla
