,venue_name,id,capacity,street,zip,latitude,longitude,metro_area,country,city_name
12146,Downtown Raleigh,969071,,203 W. Lenoir St.,27601,35.773,-78.64235,Raleigh,US,Raleigh
12147,Slim's Downtown,126014,,227 S Wilmington St,27601,35.7774343,-78.6381176,Raleigh,US,Raleigh
12148,Raleigh Downtown Farmers Market,3351049,,Fayetteville Street,,35.766988,-78.6422319,Raleigh,US,Raleigh
12149,Cary Downtown Theatre,2595258,,316 North Academy Street,27511,35.7838794,-78.7812492,Raleigh,US,Cary
12150,Cary Downtown Farmers Market,1772203,,Academy and Park Streets,27511,35.7850856,-78.781233,Raleigh,US,Cary
12151,Downtown Raleigh Warehouse District,67726,,,,,,Raleigh,US,Raleigh
12152,Downtown Raleigh at City Plaza,1875988,,500 Fayetteville Street,27601,35.773554,-78.6399375,Raleigh,US,Raleigh
12153,Downtown Live,93307,,,,,,Raleigh,US,Raleigh
12154,Downtown Sheraton Ball Room,3160864,,421 S Salisbury St,27601,35.7748635,-78.6399252,Raleigh,US,Raleigh
12155,Downtown Cary,2325889,,W Academy and Park Streets,,35.7850812,-78.7812185,Raleigh,US,Cary
12156,Downtown Event Center,971041,,14 W. Martin Street,27601,35.7770275,-78.6398251,Raleigh,US,Raleigh
12157,Downtown Rocky Mount Douglas Block,2953068,25000.0,Douglas Block,27801,35.9755324,-77.8301837,Raleigh,US,Rocky Mount
12158,Zydeco Downtown,2077854,,208 Wolfe St.,27601,35.7761861,-78.6362721,Raleigh,US,Raleigh
12159,Downtown Music Hall,79090,,,,,,Raleigh,US,Raleigh
12160,Downtown Park,3622749,,319 S. Academy St.,27511,35.783729,-78.780083,Raleigh,US,Cary
12161,The Downtown Sports Bar & Grill,1564288,,410 Glenwood Ave,27603,35.7856276,-78.6472963,Raleigh,US,Raleigh
12162,Charter Spectrum Amphitheatre,677296,,"Heritage Park, 861 SE Main St.",29681,34.7213151,-82.2322369,Columbia,US,Simpsonville
12163,Spectrum Amphitheatre,3528204,,11200 Stockdale Highway,93311,35.34901,-119.1274,Bakersfield,US,Bakersfield
12164,The Venue at Downstream Casino,83684,,East Nee Road,69300,36.99784,-94.62677,Oklahoma City,US,Quapaw
12165,1st Ward / Chop Shop,2450009,,2033 W North Ave,60647,41.91025,-87.67878,Chicago,US,Chicago
12166,Chop Shop,3386364,,2033 W. North Ave,60647,41.91018,-87.6788,Chicago,US,Chicago
12167,Morris Chop Shop,4324284,,701 Liberty St,60450,41.36214,-88.42361,Morris,US,Morris
12168,Davey's Uptown Ramblers Club,1917,300,3402 Main St.,64111,39.0654103,-94.5857615,Kansas City,US,Kansas City
12169,"Merriam Theater, Kimmel Center",34331,,250 S. Broad St.,19102,39.94765,-75.16519,Philadelphia,US,Philadelphia
12170,"The Venue, Horseshoe Casino",30131,,77 Casino Center Drive,46320,41.6940345,-87.5095596,Chicago,US,Hammond
12171,Suquamish Clearwater Casino Event Center,4055289,,,98392,47.73075,-122.56162,Seattle,US,Suquamish
12172,Wisconsin Center (Milwaukee),2868093,,400 W Wisconsin Avenue,53203,43.0395,-87.91746,Milwaukee,US,Milwaukee
12173,Milwaukee Theatre Wisconsin Center District,632161,,500 West Kilbourn Avenue,53203,43.04165,-87.91798,Milwaukee,US,Milwaukee
12174,Performing Arts Center of Wisconsin Rapids,733586,,1801 16th Street South,54494,44.37594,-89.8052,Wisconsin Rapids,US,Wisconsin Rapids
12175,Wisconsin Entertainment and Sports Center,3711394,,901 N. Fourth Street,53203,43.04157,-87.91613,Milwaukee,US,Milwaukee
12176,Wisconsin African American Women's Center (WAAW),3106469,,3020 W Vliet St,53208,43.0489516,-87.9519035,Milwaukee,US,Milwaukee
