,address,city,country,event_date,event_name,genre,is_presale,latitude_left,longitude_left,max_tickets,num_markets,onsale_date,postalCode,price_max,price_min,sold_out,state,subgenre,url,venue_name_left,popularity,headliner,support,event_time,id_y,capacity,street,zip,metro_area
2693,3667 S Las Vegas Blvd,Las Vegas,US,2019-10-05 04:00:00+00:00,Christina Aguilera - The Xperience,Pop,1,36.10961689,-115.17247058,,1.0,2019-02-02 18:00:00+00:00,89109,275.0,40.0,0.0,NV,Pop,https://www.ticketmaster.com/christina-aguilera-the-xperience-las-vegas-nevada-10-04-2019/event/390056370DBEC9EC,Zappos Theater at Planet Hollywood,0.30028499999999997,Christina Aguilera,,2019-09-20 21:00:00-07:00,3815719,4600.0,3667 S. Las Vegas Blvd.,89109,Las Vegas
2694,3570 S Las Vegas Blvd,Las Vegas,US,2019-11-24 04:00:00+00:00,Mariah Carey - All I Want For Christmas Is You,Pop,1,36.116156,-115.175058,,1.0,2019-05-10 17:00:00+00:00,89109,299.0,79.0,0.0,NV,Pop,https://www.ticketmaster.com/mariah-carey-all-i-want-for-las-vegas-nevada-11-23-2019/event/3900569A2580CF30,The Colosseum at Caesars Palace,0.19611099999999998,Rod Stewart,,2019-09-18 19:30:00-07:00,34217,4100.0,3570 South Las Vegas Blvd.,89109,Las Vegas
2695,3667 S Las Vegas Blvd,Las Vegas,US,2019-10-27 04:00:00+00:00,Gwen Stefani - Just A Girl,Rock,1,36.10961689,-115.17247058,,1.0,2018-12-07 18:00:00+00:00,89109,250.0,40.0,0.0,NV,Pop,https://www.ticketmaster.com/gwen-stefani-just-a-girl-las-vegas-nevada-10-26-2019/event/3900557CE4316B72,Zappos Theater at Planet Hollywood,0.211626,Gwen Stefani,,2019-10-11 21:00:00-07:00,3815719,4600.0,3667 S. Las Vegas Blvd.,89109,Las Vegas
2696,3667 S Las Vegas Blvd,Las Vegas,US,2019-10-26 04:00:00+00:00,Gwen Stefani - Just A Girl,Rock,1,36.10961689,-115.17247058,,1.0,2018-12-07 18:00:00+00:00,89109,230.0,40.0,0.0,NV,Pop,https://www.ticketmaster.com/gwen-stefani-just-a-girl-las-vegas-nevada-10-25-2019/event/3900557CE42D6B70,Zappos Theater at Planet Hollywood,0.211626,Gwen Stefani,,2019-10-11 21:00:00-07:00,3815719,4600.0,3667 S. Las Vegas Blvd.,89109,Las Vegas
2697,3667 S Las Vegas Blvd,Las Vegas,US,2019-09-25 04:00:00+00:00,Christina Aguilera - The Xperience,Pop,1,36.10961689,-115.17247058,,1.0,2019-02-02 18:00:00+00:00,89109,275.0,40.0,0.0,NV,Pop,https://www.ticketmaster.com/christina-aguilera-the-xperience-las-vegas-nevada-09-24-2019/event/390056370DB0C9E4,Zappos Theater at Planet Hollywood,0.30028499999999997,Christina Aguilera,,2019-09-20 21:00:00-07:00,3815719,4600.0,3667 S. Las Vegas Blvd.,89109,Las Vegas
2698,3667 S Las Vegas Blvd,Las Vegas,US,2019-09-29 04:00:00+00:00,Christina Aguilera - The Xperience,Pop,1,36.10961689,-115.17247058,,1.0,2019-02-02 18:00:00+00:00,89109,275.0,60.0,0.0,NV,Pop,https://www.ticketmaster.com/christina-aguilera-the-xperience-las-vegas-nevada-09-28-2019/event/390056370DB7C9E8,Zappos Theater at Planet Hollywood,0.30028499999999997,Christina Aguilera,,2019-09-20 21:00:00-07:00,3815719,4600.0,3667 S. Las Vegas Blvd.,89109,Las Vegas
2699,4321 West Flamingo Road,Las Vegas,US,2019-10-06 04:00:00+00:00,Billy Idol: Las Vegas 2019 presented by SiriusXM,Rock,1,36.115378,-115.19534099999998,,1.0,2018-09-21 17:00:00+00:00,89103,137.57,32.06,0.0,NV,Pop,https://www.ticketmaster.com/billy-idol-las-vegas-2019-presented-las-vegas-nevada-10-05-2019/event/1700552B802D12EF,Pearl Concert Theater at Palms Casino Resort,0.11455499999999999,Billy Idol,,2019-10-04 21:00:00-07:00,851361,,4321 W. Flamingo Rd.,89103,Las Vegas
2700,3708 Las Vegas Boulevard South ,Las Vegas,US,2019-09-09 04:00:00+00:00,Duran Duran,Rock,1,36.10907659,-115.17318003,2,1.0,2019-05-17 17:00:00+00:00,89109,799.0,49.0,0.0,NV,Alternative Rock,https://www.ticketmaster.com/duran-duran-las-vegas-nevada-09-08-2019/event/170056A9D1D92B4D,The Cosmopolitan of Las Vegas,0.16275499999999998,Duran Duran,,2019-09-07 20:00:00-07:00,1192011,,3700 S.Las Vegas Blvd.,89109,Las Vegas
2701,3667 S Las Vegas Blvd,Las Vegas,US,2019-10-03 04:00:00+00:00,Christina Aguilera - The Xperience,Pop,1,36.10961689,-115.17247058,,1.0,2019-02-02 18:00:00+00:00,89109,275.0,40.0,0.0,NV,Pop,https://www.ticketmaster.com/christina-aguilera-the-xperience-las-vegas-nevada-10-02-2019/event/390056370DBBC9EA,Zappos Theater at Planet Hollywood,0.30028499999999997,Christina Aguilera,,2019-09-20 21:00:00-07:00,3815719,4600.0,3667 S. Las Vegas Blvd.,89109,Las Vegas
2702,3667 S Las Vegas Blvd,Las Vegas,US,2019-10-31 04:00:00+00:00,Gwen Stefani - Just A Girl,Rock,1,36.10961689,-115.17247058,,1.0,2018-12-07 18:00:00+00:00,89109,230.0,40.0,0.0,NV,Pop,https://www.ticketmaster.com/gwen-stefani-just-a-girl-las-vegas-nevada-10-30-2019/event/3900557CE4366B74,Zappos Theater at Planet Hollywood,0.211626,Gwen Stefani,,2019-10-11 21:00:00-07:00,3815719,4600.0,3667 S. Las Vegas Blvd.,89109,Las Vegas
