,id,popularity_sk,type,venue_id,headliner,support,event_time
22922,39048313,0.042708,Concert,1126,Dawes,,
22923,38175164,2.2e-05,Concert,1126,Irish Christmas in America,,2019-12-11 20:00:00-05:00
22924,37514544,0.019676,Concert,2103,Keb' Mo',Jontavious Willis,2019-09-14 19:30:00-04:00
22925,37212014,0.029257,Concert,2103,Jenny Lewis,The Watson Twins,2019-09-18 19:30:00-04:00
22926,38147899,0.00319,Concert,2103,Dweezil Zappa,,2019-09-20 20:00:00-04:00
22927,38692789,0.008235,Concert,2103,Trey Anastasio,,2019-10-25 19:30:00-04:00
22928,38945654,0.003734,Concert,2103,Elvis Costello & The Imposters,,2019-11-20 19:30:00-05:00
22929,38669959,0.00047,Concert,2103,The Okee Dokee Brothers,,
22930,39015315,0.061704,Concert,987156,O.A.R.,,2019-11-20 19:00:00-08:00
22931,36991884,0.293841,Concert,295396,Vampire Weekend,"Christone ""Kingfish"" Ingram",2019-08-30 19:30:00-04:00
22932,38827264,0.060525,Concert,295396,The Glitch Mob,Seven Lions,2019-09-06 17:00:00-04:00
22933,38408869,0.220074,Concert,295396,Logic,JID,2019-10-27 19:30:00-04:00
22934,39012628,0.190899,Concert,295396,Five Finger Death Punch,Three Days Grace,2019-12-02 18:30:00-05:00
22935,38995975,0.092415,Concert,4337270,The Isley Brothers,Angela Winbush,2019-08-31 18:00:00-04:00
22936,38778424,0.020841,Concert,859946,Gov't Mule,Nikki Lane,
22937,37354884,0.020784,Concert,859946,Aaron Lewis,,
22938,37364029,0.021507,Concert,859946,Aaron Lewis,,2019-09-12 20:00:00-05:00
22939,38625289,0.000115,Concert,859946,Ben Danaher,,
22940,38893198,0.002578,Concert,1927149,Sol Roots,,2019-08-16 22:30:00-04:00
22941,38368714,1.9e-05,Concert,1927149,Hard Swimmin' Fish,,2019-08-17 22:30:00-04:00
22942,38893358,7e-06,Concert,1927149,Brent & Co.,,2019-08-23 22:30:00-04:00
22943,38976582,0.0,Concert,1927149,SEMI HOLLOW,,2019-08-31 22:30:00-04:00
22944,39058056,2.1e-05,Concert,1927149,Moonshine Society,,
22945,38979447,6e-06,Festival,34042,Bach Mai,,
22946,37551154,0.013331,Concert,34042,Reverend Horton Heat,The Delta Bombers,2019-08-21 19:00:00-05:00
22947,38979047,0.002774,Concert,34042,Nicole Dollanganger,Infinity Crush,
22948,39039177,0.017469,Concert,34042,The Black Dahlia Murder,Waiting Room,
22949,38906764,0.016471,Concert,34042,The Movement,Arise Roots,
22950,38734744,0.073743,Concert,34042,STRFKR,,2019-09-14 20:00:00-05:00
22951,38130699,0.000168,Concert,34042,The Midnight LA,,
22952,38596884,0.016175,Concert,34042,WHY?,Barrie,
22953,38793329,0.014276,Concert,34042,Phony Ppl,,2019-09-24 20:00:00-05:00
22954,39053185,0.001213,Concert,34042,Andrea Gibson,,2019-09-30 19:00:00-05:00
22955,39034387,4.5e-05,Concert,34042,Artikal Sound System,,
22956,39034668,0.009712,Concert,34042,Ballyhoo!,,
22957,39040711,0.000358,Concert,34042,Fayuca,,2019-10-01 19:00:00-05:00
22958,37966639,0.001072,Concert,34042,Frances Cone,,2019-10-08 19:00:00-05:00
22959,39032740,0.011972,Concert,34042,Yonder Mountain String Band,,2019-10-10 20:00:00-05:00
22960,36248849,0.009554,Concert,34042,Mike Doughty,,2019-10-20 19:00:00-05:00
22961,39015861,0.039133,Concert,34042,David Cook,,
22962,38949990,0.017339,Concert,34042,Twin Peaks,Post Animal,2019-11-01 20:00:00-05:00
22963,38999173,7.6e-05,Concert,34042,The HU (band),,
22964,38941729,0.003644,Concert,34042,The Motet,Exmag,2019-12-05 20:00:00-06:00
22965,35678634,1.3e-05,Concert,1174881,Phil Johnson,,
22966,38467734,0.028374,Concert,1268,Boz Scaggs,,2019-08-23 20:00:00-07:00
22967,38319704,0.052273,Concert,1268,Brian Wilson,The Zombies,2019-09-01 20:00:00-07:00
22968,38467369,0.093973,Concert,1268,Doobie Brothers,,2019-09-14 20:00:00-07:00
22969,38397229,0.07203,Concert,1268,Rob Thomas,,2019-09-21 20:00:00-07:00
22970,38467099,0.009406,Concert,1268,BANDA MS,,2019-09-27 20:00:00-07:00
22971,37839639,0.056696,Concert,1268,Diana Krall,,2019-09-28 20:00:00-07:00
22972,38988212,0.044081,Concert,1268,Sara Evans,,
22973,38214449,0.025147,Concert,1268,Paul Anka,,2019-11-22 20:00:00-08:00
22974,39018284,0.033849,Concert,1268,Old Dominion,,
22975,38635314,0.000863,Concert,3124544,Stan Taylor,Raquel Rodriguez,2019-08-16 20:00:00-07:00
22976,37424374,7.9e-05,Concert,3124544,Unfinished Business,,2019-08-17 20:00:00-07:00
22977,38493739,0.001026,Concert,3124544,Sean Watkins,The Bee Eaters,2019-08-18 19:00:00-07:00
22978,38849534,4.5e-05,Concert,3124544,Dave Alvin & Jimmie Dale Gilmore with The Guilty Ones,Taylor Scott Band,2019-08-22 19:00:00-07:00
22979,38761399,1.9e-05,Concert,3124544,The Cheeseballs,,2019-08-23 20:00:00-07:00
22980,38166979,1.3e-05,Concert,3124544,The Gold Souls,,2019-08-24 20:30:00-07:00
22981,38635379,0.003317,Concert,3124544,Popa Chubby,,2019-08-29 19:30:00-07:00
22982,37513774,0.004974,Concert,3124544,The Blasters,Jesse Dayton,2019-08-30 19:00:00-07:00
22983,38315244,0.153386,Concert,3124544,Alice In Chains,Damaged Goods,2019-08-31 20:15:00-07:00
22984,38958822,2e-06,Concert,3124544,Truth About Seafood,Eat the Wolf,2019-09-06 20:00:00-07:00
22985,38508594,3.3e-05,Concert,3124544,Faux Fighters,,2019-09-07 20:00:00-07:00
22986,38993945,0.000582,Concert,3124544,Diego's Umbrella,,2019-09-11 20:00:00-07:00
22987,39040739,0.003335,Concert,3124544,Junior Brown,Cassie B,2019-09-12 19:00:00-07:00
22988,38995513,0.008058,Concert,3124544,Wade Bowen,Dalton Domino,2019-09-13 19:30:00-07:00
22989,38646534,0.002157,Concert,3124544,Coco Montoya,,2019-09-18 19:00:00-07:00
22990,38646539,0.000617,Concert,3124544,Delvon Lamarr Organ Trio,,2019-09-19 19:00:00-07:00
22991,37083139,6.4e-05,Concert,3124544,House Of Floyd,,2019-09-20 20:30:00-07:00
22992,39047454,0.00067,Concert,3124544,Balto,,2019-09-26 20:00:00-07:00
22993,38893878,0.017311,Concert,3124544,Andre Nickatina,,2019-09-27 20:00:00-07:00
22994,38513699,0.000744,Concert,3124544,Metalachi,,2019-09-28 20:00:00-07:00
22995,38980471,0.000883,Concert,3124544,Laurence Juber,,2019-09-29 19:00:00-07:00
22996,38948855,0.001037,Concert,3124544,Andrew Duhon,,2019-10-02 19:30:00-07:00
22997,39046307,0.006669,Concert,3124544,Good Riddance,88 Fingers Louie,2019-10-03 18:30:00-07:00
22998,39052258,0.00172,Concert,3124544,Hackensaw Boys,,2019-10-06 19:30:00-07:00
22999,39029772,4.5e-05,Concert,3124544,The Long Run - Experience the Eagles,,2019-10-12 20:00:00-07:00
23000,39022572,0.000257,Concert,3124544,The Ragged Jubilee,,2019-10-19 20:30:00-07:00
23001,38494034,0.00678,Concert,3124544,Gaelic Storm,,2019-10-20 19:00:00-07:00
23002,38989927,3.1e-05,Concert,3124544,Molly Ringwald Project,,2019-10-25 20:15:00-07:00
23003,39012493,0.005488,Concert,3124544,Subhumans,Neighborhood Brats,2019-10-28 19:00:00-07:00
23004,38952526,0.014405,Concert,3124544,Noah Gundersen,Scott Ruth,2019-11-08 19:00:00-08:00
23005,38982351,0.008826,Concert,3124544,Reckless Kelly,,2019-11-15 19:30:00-08:00
23006,38916914,0.011551,Concert,3124544,Strung Out,The Casualities,2019-11-20 19:00:00-08:00
23007,39024343,0.011552,Concert,3124544,Strung Out,,2019-11-20 15:00:00-08:00
23008,38986878,0.007005,Concert,3124544,Charlie Hunter,Lucy Woodward,2019-12-15 18:30:00-08:00
23009,38975667,0.001345,Concert,3124544,Let's Go Bowling,Tommy,2019-12-28 20:00:00-08:00
23010,38962826,0.000476,Concert,531126,Luh Kel,,
23011,37643274,0.025308,Festival,12,Beartooth,While She Sleeps,2019-10-12 14:00:00-07:00
23012,38996376,0.002106,Concert,12,The Escape,,2019-10-25 16:00:00-07:00
23013,39054184,0.043016,Festival,12,Don Diablo,,
23014,39054478,2.9e-05,Festival,12,Slooze,,
23015,38827004,0.036548,Festival,12,Ferry Corsten,Andrew Bayer,
23016,38859469,0.003638,Festival,12,Sean Tyas,,2019-11-22 03:30:00-08:00
23017,38882808,0.004858,Festival,12,Giuseppe Ottaviani,,
