Venue,City,Capacity
Saint Andrew's Hall,Detroit,"1,000"
The Fillmore,Detroit,"2,888"
Detroit Masonic Temple,Detroit,"4,650"
DTE Energy Music Theatre,Clarkston,"15,274"
Van Andel Arena,Grand Rapids,"13,184"
20 Monroe Live,Grand Rapids,"2,540"
DeVos Performance Hall,Grand Rapids,"2,404"
Holland Municipal Stadium,Holland,"5,322"
Paisley Park,Chanhassen,"1,850"
AMSOIL Arena,Duluth,"8,500"
NorShor Theatre,Duluth,700
Verizon Center,Mankato,"8,200"
US Bank Stadium,Minneapolis,"66,665"
TCF Bank Stadium,Minneapolis,"58,805"
Target Field,Minneapolis,"39,022"
Target Center,Minneapolis,"19,336"
The Armory,Minneapolis,"8,400"
Northrop Auditorium,Minneapolis,"2,700"
Orpheum Theatre,Minneapolis,"2,579"
State Theatre,Minneapolis,"2,181"
First Avenue,Minneapolis,"1,550"
Pantages Theatre,Minneapolis,"1,014"
Bluestem Amphitheater,Moorhead,"3,000"
Taylor Arena,Rochester,"7,200"
Mayo Civic Auditorium,Rochester,"3,000"
Xcel Energy Center,Saint Paul,"20,554"
State Fair Grandstand,Saint Paul,"17,000"
CHS Field,Saint Paul,"12,000"
Roy Wilkins Auditorium,Saint Paul,"5,000"
Palace Theatre,Saint Paul,"2,500"
Fitzgerald Theater,Saint Paul,"1,058"
Mississippi Coast Coliseum,Biloxi,"15,025"
Brandon Amphitheater,Brandon,"8,300"
Mississippi Coliseum,Jackson,"10,000"
Thalia Mara Hall,Jackson,"2,040"
Landers Center,Southaven,"10,045"
Silverstein Eye Centers Arena,Independence,"7,000"
Hollywood Casino Amphitheatre,Maryland Heights,"20,000"
JQH Arena,Springfield,"11,000"
Sprint Center,Kansas City,"19,252"
Hy-Vee Arena,Kansas City,"19,000"
Uptown Theater,Kansas City,"1,700"
Midland Theatre,Kansas City,"3,200"
Starlight Theatre,Kansas City,"7,958"
Arrowhead Stadium,Kansas City,"76,416"
Enterprise Center,St. Louis,"22,000"
Fox Theatre,St. Louis,"4,503"
The Pageant,St. Louis,"2,300"
Chaifetz Arena,St. Louis,"10,600"
The Dome at America's Center,St. Louis,"66,000"
Stifel Theatre,St. Louis,"3,100"
Busch Stadium,St. Louis,"52,000"
Show Me Center,Cape Girardeau,"7,373"
Mizzou Arena,Columbia,"15,061"
CHI Health Center,Omaha,"18,100"
Baxter Arena,Omaha,"7,898"
Orpheum Theater,Omaha,"2,600"
Sokol Auditorium,Omaha,"1,500"
Pinnacle Bank Arena,Lincoln,"14,620"
Memorial Stadium,Lincoln,"87,000"
Ralston Arena,Ralston,"4,356"
Sam Boyd Stadium,Whitney,"40,000"
MGM Grand Garden Arena,Las Vegas,"16,800"
Allegiant Stadium,Las Vegas,"60,000"
Zappos Theater,Las Vegas,"7,000"
The Joint,Las Vegas,"4,200"
House of Blues,Las Vegas,"2,000"
The Colosseum at Caesars Palace,Las Vegas,"4,298"
Pearl Concert Theater,Las Vegas,"2,500"
Flamingo Showroom,Las Vegas,750
Orleans Showroom,Las Vegas,850
Orleans Arena,Las Vegas,"8,921"
Thomas & Mack Center,Las Vegas,"19,000"
The Venetian Theatre,Las Vegas,"1,810"
Mandalay Bay Events Center,Las Vegas,"12,000"
T-Mobile Arena,Las Vegas,"19,600"
Reno Events Center,Reno,"7,400"
Lawlor Events Center,Reno,"11,536"
Mackay Stadium,Reno,"26,000"
Lake Tahoe Outdoor Arena,Stateline,"9,300"
Bank of New Hampshire Pavilion,Gilford,"8,300"
Hampton Beach Casino Ballroom,Hampton,"2,200"
SNHU Arena,Manchester,"10,050"
Palace Theatre,Manchester,880
Paramount Theatre,Asbury Park,1600
The Saint,Asbury Park,175
The Stone Pony,Asbury Park,500
Boardwalk Hall,Atlantic City,"14,770"
Borgata Event Center,Atlantic City,"2,400"
TD Bank Ballpark,Bridgewater,"6,100"
BB&T Pavilion,Camden,"25,000"
MetLife Stadium,East Rutherford,"82,680"
Meadowlands Arena,East Rutherford,"20,000"
PNC Bank Arts Center,Holmdel,"17,500"
Prudential Center,Newark,"19,500"
Count Basie Theatre,Red Bank,"1,568"
Starland Ballroom,Sayreville,"2,500"
Popejoy Hall,Albuquerque,"1,985"
Kiva Auditorium,Albuquerque,"2,300"
Tingley Coliseum,Albuquerque,"11,571"
Isleta Amphitheater,Albuquerque,"15,000"
The Pit,Albuquerque,"15,411"
Pan American Center,Las Cruces,"12,482"
"NYCB Live, home of the Nassau Veterans Memorial Coliseum",Uniondale,"14,500"
Saratoga Performing Arts Center,Saratoga Springs,"25,103"
Herb Brooks Arena,Lake Placid,"7,700"
Northwell Health at Jones Beach Theater,Wantagh,"15,000"
The Paramount[citation needed],Huntington,"1,753"
Barclays Center,Brooklyn,"19,000"
Ford Amphitheater at Coney Island,Brooklyn,"5,000"
Madison Square Garden,New York City,"20,000"
Webster Hall,New York City,"1,500"
Carnegie Hall,New York City,"2,804"
Hammerstein Ballroom,New York City,"3,500"
Hulu Theater,New York City,"5,600"
Forest Hills Stadium,New York City,"14,000"
Citi Field,New York City,"47,255"
Irving Plaza,New York City,"1,025"
Gramercy Theatre,New York City,499
Beacon Theatre,New York City,"2,829"
Radio City Music Hall,New York City,"6,015"
PlayStation Theater,New York City,"2,100"
Terminal 5,New York City,"3,000"
Yankee Stadium,Bronx,"54,242"
New Era Field,Orchard Park,"71,608"
Palace Theatre,Albany,"2,844"
Times Union Center,Albany,"15,357"
Carrier Dome,Syracuse,"56,250"
KeyBank Center,Buffalo,"18,500"
Blue Cross Arena,Rochester,"14,000"
Darien Lake Performing Arts Center,Darien,"21,600"
Center for the Arts,Homer,450
U.S. Cellular Coliseum,Asheville,"7,200"
The Orange Peel,Asheville,"1,050"
Holmes Center,Boone,"8,325"
American Legion Memorial Stadium,Charlotte,"16,000"
Bojangles' Coliseum,Charlotte,"9,605"
Ovens Auditorium,Charlotte,"2,460"
PNC Music Pavilion,Charlotte,"19,500"
Charlotte Metro Credit Union Amphitheatre,Charlotte,"5,000"
Bank of America Stadium,Charlotte,"74,455"
Spectrum Center,Charlotte,"18,249"
Durham Performing Arts Center,Durham,"2,712"
Crown Coliseum,Fayetteville,"13,500"
Odeon Theatre,Greensboro,300
Greensboro Coliseum,Greensboro,"23,500"
The Terrace,Greensboro,800
White Oak Amphitheatre,Greensboro,788
Carter–Finley Stadium,Raleigh,"57,583"
Coastal Credit Union Music Park,Raleigh,"20,500"
PNC Arena,Raleigh,"19,350"
Red Hat Amphitheater,Raleigh,"5,500"
BB&T Field,Winston-Salem,"31,500"
Lawrence Joel Veterans Memorial Coliseum,Winston-Salem,"14,407"
Alerus Center,Grand Forks,"21,000"
Ralph Engelstad Arena,Grand Forks,"13,154"
Fargodome,Fargo,"22,000"
SpiritBank Event Center,Bixby,"4,500"
Choctaw Grand Theater,Durant,"3,000"
Global Event Center,Thackerville,"3,500"
BOK Center,Tulsa,"19,199"
Cox Business Center,Tulsa,"9,768"
ONEOK Field,Tulsa,"9,100"
Cain's Ballroom,Tulsa,"1,800"
Brady Theater,Tulsa,"2,800"
Chesapeake Energy Arena,Oklahoma City,"19,000"
Jim Norick Arena,Oklahoma City,"10,944"
Zoo Amphitheatre,Oklahoma City,"8,500"
Lloyd Noble Center,Norman,"11,562"
McCasland Field House,Norman,"5,000"
Blossom Music Center,Cuyahoga Falls,"20,000"
U.S. Bank Arena,Cincinnati,"17,556"
Riverbend Music Center,Cincinnati,"20,500"
PNC Pavilion,Cincinnati,"4,100"
Great American Ball Park,Cincinnati,"42,319"
Value City Arena,Columbus,"20,000"
Nationwide Arena,Columbus,"21,000"
Lincoln Theatre,Columbus,582
Ohio Stadium,Columbus,"104,944"
Express Live!,Columbus,"5,000"
House of Blues,Cleveland,"1,200"
Wolstein Center,Cleveland,"13,612"
Rocket Mortgage FieldHouse,Cleveland,"20,100"
FirstEnergy Stadium,Cleveland,"73,200"
Jacobs Pavilion,Cleveland,"5,000"
Huntington Center,Toledo,"7,286"
Stambaugh Auditorium,Youngstown,"2,554"
Midland Theatre,Newark,"1,800"
Moda Center,Portland,"15,100"
Arlene Schnitzer Concert Hall,Portland,"2,776"
Roseland Theater,Portland,"1,400"
Keswick Theatre,Glenside,"1,300"
Electric Factory,Philadelphia,"3,000"
Theatre of Living Arts,Philadelphia,"1,000"
Citizens Bank Park,Philadelphia,"43,650"
Liacouras Center,Philadelphia,"10,200"
Mann Center for the Performing Arts,Philadelphia,"14,000"
Wells Fargo Center,Philadelphia,"21,000"
Franklin Field,Philadelphia,"52,960"
Lincoln Financial Field,Philadelphia,"69,176"
PPL Center,Allentown,"10,500"
New Holland Arena,Harrisburg,"7,600"
Bryce Jordan Center,University Park,"16,000"
PPG Paints Arena,Pittsburgh,"14,536"
PNC Park,Pittsburgh,"38,360"
Heinz Field,Pittsburgh,"69,119"
Petersen Events Center,Pittsburgh,"12,508"
Stage AE,Pittsburgh,"5,500"
Sands Event Center,Bethlehem,"3,500"
Stabler Arena,Bethlehem,"6,200"
Santander Arena,Reading,"9,000"
The Pavilion,Scranton,"19,000"
Utz Arena,York,"5,500"
Giant Center,Hershey,"12,500"
Hersheypark Stadium,Hershey,"30,000"
Warner Theatre,Erie,"2,250"
KeyBank Pavilion,Burgettstown,"23,000"
Dunkin' Donuts Center,Providence,"12,780"
TD Arena,Charleston,"5,100"
Colonial Life Arena,Columbia,"19,000"
Koger Center for the Arts,Columbia,"2,256"
The Senate,Columbia,"1,200"
Williams–Brice Stadium,Columbia,"80,250"
Bon Secours Wellness Arena,Greenville,"15,951"
Timmons Arena,Greenville,"6,000"
The Firmament,Greenville,825
North Charleston Coliseum,North Charleston,"12,645"
House of Blues,North Myrtle Beach,"2,100"
Memorial Stadium,Clemson,"81,500"
Denny Sanford Premier Center,Sioux Falls,"12,500"
Sioux Falls Arena,Sioux Falls,"7,500"
FedExForum,Memphis,"19,000"
Liberty Bowl Memorial Stadium,Memphis,"59,310"
Mud Island Amphitheatre,Memphis,"5,000"
Orpheum Theatre,Memphis,"2,400"
Ryman Auditorium,Nashville,"2,362"
Grand Ole Opry,Nashville,"4,000"
Vanderbilt Stadium,Nashville,"40,500"
Bridgestone Arena,Nashville,"19,712"
Nissan Stadium,Nashville,"69,143"
Ascend Amphitheater,Nashville,"6,800"
The Cannery Ballroom,Nashville,"1,000"
Thompson–Boling Arena,Knoxville,"21,678"
Monte Hale Arena,Murfreesboro,"11,500"
Allen Event Center,Allen,"8,600"
Frank Erwin Center,Austin,"16,000"
Emo's,Austin,"1,850"
Moody Theater,Austin,"2,750"
Austin360 Amphitheater,Austin,"14,000"
AT&T Stadium,Arlington,"105,000"
Globe Life Field,Arlington,"40,000"
Globe Life Park,Arlington,"48,114"
Jefferson Theatre,Beaumont,"1,400"
Julie Rogers Theater,Beaumont,"1,663"
H-E-B Center,Cedar Park,"8,700"
American Bank Center,Corpus Christi,"10,000"
Berry Center,Cypress,"9,500"
American Airlines Center,Dallas,"21,001"
The Bomb Factory,Dallas,"4,300"
South Side Ballroom,Dallas,"4,000"
Cotton Bowl,Dallas,"92,100"
House of Blues,Dallas,"1,750"
Trees,Dallas,600
Granada Theater,Dallas,"1,000"
Dos Equis Pavilion,Dallas,"20,000"
Bert Ogden Arena,Edinburg,"7,688"
Don Haskins Center,El Paso,"12,567"
El Paso County Coliseum,El Paso,"7,000"
Sun Bowl Stadium,El Paso,"51,500"
Fort Worth Convention Center,Fort Worth,"11,200"
Dickies Arena,Fort Worth,"14,000"
Billy Bob's,Fort Worth,"6,000"
Grand 1894 Opera House,Galveston,"1,040"
The Theatre at Grand Prairie,Grand Prairie,"6,350"
State Farm Arena,Hidalgo,"6,800"
BBVA Stadium,Houston,"30,000"
House of Blues,Houston,"1,500"
Warehouse Live,Houston,"1,500"
Toyota Center,Houston,"19,085"
Minute Maid Park,Houston,"42,060"
NRG Stadium,Houston,"71,055"
NRG Arena,Houston,"8,000"
Revention Music Center,Houston,"3,464"
Toyota Music Factory,Irving,"8,000"
Laredo Energy Arena,Laredo,"11,360"
United Supermarkets Arena,Lubbock,"15,098"
McAllen Performing Arts Center,McAllen,"1,800"
Wagner Noël Performing Arts Center,Midland,"1,819"
AT&T Center,San Antonio,"19,000"
Aztec Theatre,San Antonio,"1,477"
Majestic Theatre,San Antonio,"2,264"
Freeman Coliseum,San Antonio,"11,700"
Smart Financial Centre,Sugar Land,"6,500"
Perot Theatre,Texarkana,"1,400"
Cynthia Woods Mitchell Pavilion,The Woodlands,"16,500"
Vivint Smart Home Arena,Salt Lake City,"15,000"
Maverik Center,West Valley City,"12,000"
USANA Amphitheatre,West Valley City,"20,000"
Marriott Center,Provo,"20,951"
Tuacahn Center,Ivins,"1,920"
John Paul Jones Arena,Charlottesville,"16,000"
Scott Stadium,Charlottesville,"61,500"
EagleBank Arena,Fairfax,"10,002"
Portsmouth Pavilion,Portsmouth,"6,500"
Jiffy Lube Live,Bristow,"25,000"
Hampton Coliseum,Hampton,"13,800"
Norfolk Scope,Norfolk,"13,800"
Attucks Theatre,Norfolk,690
The Norva,Norfolk,"1,500"
National Theater,Richmond,"1,500"
Richmond Coliseum,Richmond,"13,553"
Filene Center,Vienna,"7,000"
Veterans United Home Loans Amphitheater,Virginia Beach,"20,000"
Tacoma Dome,Tacoma,"23,000"
The Gorge Amphitheatre,George,"20,000"
ShoWare Center,Kent,"7,600"
CenturyLink Field,Seattle,"72,352"
Safeco Field,Seattle,"47,953"
KeyArena,Seattle,"15,354"
WaMu Theater,Seattle,"7,000"
McCaw Hall,Seattle,"2,963"
Paramount Theatre,Seattle,"2,807"
Benaroya Hall,Seattle,"2,500"
5th Avenue Theatre,Seattle,"2,130"
Showbox SoDo,Seattle,"1,500"
Moore Theatre,Seattle,"1,400"
Meany Hall for the Performing Arts,Seattle,"1,206"
The Showbox,Seattle,"1,150"
Neptune Theatre,Seattle,800
Sky Church,Seattle,800
Crocodile Cafe,Seattle,550
Marymoor Park,Redmond,"5,000"
Angel of the Winds Arena,Everett,"9,000"
Sunlight Supply Amphitheater,Ridgefield,"18,000"
Town Toyota Center,Wenatchee,"5,800"
Beasley Coliseum,Pullman,"11,671"
Silver Reef Casino Event Center[26],Ferndale,"1,000"
Spokane Veterans Memorial Arena,Spokane,"12,638"
Yakima SunDome,Yakima,"8,300"
Miller Park,Milwaukee,"41,900"
