,venue_name,id,capacity,street,zip,latitude,longitude,metro_area
66,"Terry Theater, Times-Union Center for the Performing Arts",7661,,300 West Water Street,32202,30.32498,-81.66239,Jacksonville
67,Times-Union Center For The Performing Arts,903,,300 West Water Street,32202,30.32558,-81.66309,Jacksonville
68,Hard Rock Live - Orlando,38516,,6050 Universal Blvd.,32819,28.4737,-81.46734000000002,Orlando
69,Shea's Performing Arts Center,1291,,646 Main St,14202,42.891690000000004,-78.8733,Buffalo
70,One Eyed Jacks,2799,300.0,615 Toulouse Street,70130,29.957032,-90.064749,New Orleans
71,One Eyed Jack's,600891,,2638 Colonel Glenn Parkway,45324,39.8208925,-84.0193789,Dayton
72,One Eyed Jacks,1517123,,2638 Colonel Glenn Hwy,,39.7779711,-84.0545785,Dayton
73,One Eyed Jacks,873566,,,,,,Kansas City
74,One Eyed Jacks,669746,,,,55.86626700000001,-3.9625660000000003,Glasgow
75,One Eyed Jack's,43460,,,,,,Los Angeles
76,One Eyed Jack's,3894799,,380 N Wantagh Ave,11714,40.7350194,-73.49538620000001,Bethpage
77,One Eyed Jack's,249351,,,,,,Cincinnati
78,The Tulalip Amphitheatre,2383,,10400 Quil Ceda Boulevard,98271,48.0940685,-122.1880209,Seattle
79,Revention Music Center,2861788,2900.0,520 Texas Ave.,77002,29.76244,-95.36718,Houston
80,40 Below - Under Revention Music Center,4224959,,,77002,29.75255,-95.3704,Houston
81,Shovelhead Live,3989544,,900 US-17,32750,28.69259000000001,-81.3283,Orlando
82,Strummer's,2349949,,833 E Fern Ave,93728,36.7588441,-119.8001805,Fresno
83,Strummer Bar,3932454,,Godoy Cruz 1631,,-34.5879076,-58.4344409,Buenos Aires
84,Strummer Camp,126760,,,,,,Manchester
85,Strummers,30288,,,,,,Pittsburgh
86,Arena Joe Strummer,2502964,,Via Stalingrado,40128,44.516114,11.3597931,Bologna
87,Strummer of Love Festival,1870508,,Culmhead,,50.936064,-3.126185,Exeter
88,Joe Strummer Club,1314421,,"Carretera De La Pinya S/n, La Vall D'en Bas",17179,42.183378499999996,2.4773897000000002,Girona
89,Joe Strummer Tribute,182478,,,,,,Granada
90,Strummer's Bar & Grill,4257504,,: 833 E Fern Ave,,36.75894,-119.8002,Fresno
91,O'Malley's Sports Bar,618256,,1388 North Sr-7,33063,26.25648,-80.20209,Fort Lauderdale
92,O'malley's Sports Bar,836601,,1388 State Road 7,33063,27.19378,-80.22851,Fort Lauderdale
93,O'Malley's Sports Bar,3117489,,1388 FL-7,33063,26.2467352,-80.20131059999999,Fort Lauderdale
94,O'malley's Sports Bar & Grill,3406554,,,28779,35.2754589,-80.7285176,Charlotte
95,Belterra Casino Resort and Spa,4012079,,,47020,38.78435,-84.92459000000002,Florence
96,9:30 Club,922,1200.0,815 V St NW,20001,38.9178658,-77.0237219,Washington
97,Jammin' Java,124690,200.0,227 Maple Ave.,22180,38.904137799999994,-77.26112590000002,Washington
98,Birchmere,32723,500.0,3701 Mt. Vernon Ave,22305,38.839858,-77.06129,Washington
99,Black Cat,1038,700.0,1811 14th Street N.w.,20009,38.91453,-77.03177,Washington
100,U Street Music Hall,839721,500.0,1115 U St NW,20001,38.917202,-77.027764,Washington
101,Walter's On Washington,430,,4215 Washington Avenue,77007,29.770232899999996,-95.403561,Houston
102,DC9 Nightclub,20843,200.0,"1940 9th Street, NW",20001,38.9166743,-77.0239493,Washington
103,Rock & Roll Hotel,10865,400.0,1353 H St. NE,20002,38.9000902,-76.98657790000001,Washington
104,The Hamilton Live,1611908,500.0,600 14th St. NW,20005,38.89749000000001,-77.03215420000002,Washington
105,Empire,1307,500.0,6355 Rolling Road,22152,38.77789,-77.23246,Washington
106,Hill Country Barbecue Market,1273986,300.0,410 Seventh St. NW,20004,38.89513,-77.02231,Washington
107,Howard Theatre,74872,1242.0,"620 T Street, NW",20001,38.91527,-77.0211,Washington
108,Washington's,3058304,,132 Laporte Ave,80524,40.58943,-105.07791999999999,Cheyenne
109,IOTA Club & Café,79176,,2832 Wilson Blvd.,22201,38.88878029999999,-77.0924464,Washington
110,Gypsy Sally's,2402744,300.0,3401 K Street NW,20007,38.902593599999996,-77.06275450000003,Washington
111,"Lisner Auditorium, George Washington University",1100,,730 21st St. N.W.,20052,38.8993,-77.04706,Washington
112,Flash,2382729,,645 Florida St NW,20001,38.916281,-77.02136899999998,Washington
113,The Fillmore Silver Spring,1448428,2000.0,8656 Colesville Road,20910,38.997479999999996,-77.02793,Washington
114,Wolf Trap,569286,,1551 Trap Road,22182,38.9365408,-77.2644698,Washington
115,The State Theatre,79584,800.0,220 N. Washington St,22046,38.88306,-77.16986999999997,Washington
116,Velvet Lounge,71329,,915 U Street NW,20001,38.917130799999995,-77.0246868,Washington
117,Sixth & I,2601,800.0,600 I St NW,20001,38.90063,-77.02026,Washington
118,The Barns at Wolf Trap,4381,,1635 Trap Road,22182,38.93255,-77.26552,Washington
119,The Washington,670926,,79 Fitzwilliam Street,S1 4JP,53.377596999999994,-1.4780634,Sheffield
120,Songbyrd Music House,3115224,,2475 18th St NW,20009,38.9224,-77.04227,Washington
121,The Washington,35059,,306 Washington,52601,40.81111,-91.10276999999999,Des Moines
122,Washington Avenue Armory,1509,,195 Washington Avenue,12210,42.65647120000001,-73.76275229999997,Springfield
123,Jiffy Lube Live,475,22500.0,7800 Cellar Door Drive,20136,38.786011,-77.587845,Washington
124,Warner Theatre,647,1900.0,1299 Pennsylvania Ave Nw,20004,38.89628,-77.02828000000002,Washington
125,Washington Square Bar & Grill,1157991,,4736 Washington Square,55110,45.0849948,-93.00903199999999,Twin Cities
126,"Vinyl Lounge, Gypsy Sally's",2728163,,3401 K Street NW,20007,38.90415,-77.0681,Washington
127,Echostage,1864683,,2135 Queens Chapel Road NE,20018,38.91980039999999,-76.9726045,Washington
128,Washington House Restaurant,1064451,,136 North Main Street,18960,40.35958,-75.31102,Philadelphia
129,DAR Constitution Hall,1095,3702.0,"1776 D Street, NW",20006,38.8936076,-77.0397162,Washington
130,Capital Centre,75736,,1 Harry S Truman Dr.,20785,38.8942174,-76.8390593,Washington
131,Union Stage,3623159,,740 Water St SW,20024,38.878659999999996,-77.02388,Washington
132,"Concert Hall, Kennedy Center",554416,,"2700 F St., NW",20566,38.89606,-77.0552,Washington
133,Lincoln Theatre,2826,,1215 U St. NW,20009,38.9174,-77.028992,Washington
134,The Music Center at Strathmore,14997,1976.0,5301 Tuckerman Lane,20852,39.0312745,-77.1027585,Washington
135,Villain & Saint,2940728,,7141 Wisconsin Ave,20814,38.98085,-77.09209,Washington
136,John F. Kennedy Center for the Performing Arts,30332,,"2700 F St., NW",20566,38.89606,-77.0552,Washington
137,Blues Alley,10881,,1073 Wisconsin Ave NW,20007,38.9046446,-77.0624715,Washington
138,Capital One Arena,3640349,20278.0,601 F Street NW,20004,38.89801,-77.021,Washington
139,Ebenezers Coffeehouse,334951,,201 F St. NE,20002,38.897104,-77.003288,Washington
140,"The Gargoyle, 	Washington University",32179,499.0,6465 Forsyth Blvd.,63105,38.6466261,-90.30768379999999,St Louis
141,Ronald Reagan Building and International Trade Center,16136,,1300 Pennsylvania Ave. NW,20004,38.8954971,-77.0300809,Washington
142,Soundcheck,3060354,,1420 K Street NW,20005,38.90217,-77.03291999999998,Washington
143,Pearl Street Warehouse,3637839,,33 pearl st. sw,20024,38.803709999999995,-77.30749,Washington
144,"EagleBank Arena, George Mason University",812,10000.0,4500 Patriot Circle,22030,38.82675,-77.30975,Washington
145,The Pinch,2044809,,3548 14th Street NW,20010,38.93573,-77.03298000000002,Washington
146,Embassy Theatre,1088,,125 West Jefferson Boulevard,46802,41.076014,-85.13974300000002,Fort Wayne
147,Embassy Theatre,4180,,"Embassy Centre, Grand Parade",PE25 2UG,53.14379,0.34460999999999997,Hull
148,Embassy Theatre,101436,,Broadway,,52.5233262,-0.2432209,Peterborough
149,The Embassy Theatre,71492,,49 Baltimore St,21502,39.6513354,-78.76231130000002,Cumberland
150,Indiana Hotel at the Embassy Theatre,3792299,,125 West Jefferson Blvd.,46802,41.0757593,-85.1398324,Fort Wayne
151,Reggie's Rock Club,540136,300.0,2109 South State Street,60616,41.85405220000001,-87.62695140000002,Chicago
152,Randall's Island,1024,,20 Randall’s Island Park,10035,40.783766,-73.925671,New York
153,Randall's Island Park,3788999,,,10035,40.79407,-73.92716,New York
154,"Icahn Stadium, Randall's Island",112666,,,,,,New York
155,Spokane Arena,462,,720 West Mallon,99201,47.666398799999996,-117.42322250000001,Spokane
156,Happy Canyon Arena,2738,,1601 Westgate,97801,45.66838,-118.80278,Spokane
157,Star Theater at Spokane Arena.,3079829,,720 West Mallon Avenue,99201,47.665547600000004,-117.4236976,Spokane
158,Toyota Arena,857051,,7000 W. Grandridge Blvd,99336,46.219770000000004,-119.21658000000001,Spokane
159,Kelly's Arena,97682,,,,,,Spokane
160,Dahlberg Arena,342301,,,59812,46.861557,-113.98427009999999,Spokane
161,Four Seasons Arena,76269,,,,,,Spokane
162,Adams Center Arena,4012904,,,59812,46.86156,-113.98427,Spokane
