,created_at,datetime_local,general_admission,id,popularity,score,short_title,url,listing_count,average_price,median_price,lowest_price,venue_name,venue_popularity,venue_address,venue_city,venue_state,venue_zip,venue_id
1199,2019-01-22T16:55:17,2019-08-24T20:00:00,False,4701164,0.711,0.709,Dave Matthews Band,https://seatgeek.com/dave-matthews-band-tickets/englewood-colorado-fiddler-s-green-amphitheatre-2019-08-24-8-pm/concert/4701164,237.0,216.0,128.0,83.0,Fiddler's Green Amphitheatre,0,6350 Greenwood Plaza Blvd,Englewood,CO,80111,3703
1200,2019-04-05T12:56:04,2019-08-24T20:00:00,False,4808678,0.504,0.419,Happy Together: Gary Puckett with The Turtles and The Buckinghams and The Cowsills,https://seatgeek.com/happy-together-gary-puckett-with-the-turtles-and-the-buckinghams-and-the-cowsills-tickets/denver-colorado-paramount-theatre-1-2019-08-24-8-pm/concert/4808678,57.0,174.0,136.0,79.0,Paramount Theatre,0,1621 Glenarm,Denver,CO,80202,717
1201,2019-06-14T16:02:31,2019-08-24T20:00:00,True,4894195,0.0,0.0,SYCDVK & Outer Vibe,https://seatgeek.com/sycdvk-and-outer-vibe-tickets/denver-colorado-your-mom-s-house-4-2019-08-24-8-pm/concert/4894195,,,,,Your Mom's House,0,608 East 13th Avenue,Denver,CO,80203,460721
1202,2019-03-31T16:02:38,2019-08-24T20:00:00,False,4803352,0.0,0.0,Jose Gonzalez,https://seatgeek.com/jose-gonzalez-tickets/beaver-creek-colorado-vilar-performing-arts-center-2019-08-24-8-pm/concert/4803352,3.0,141.0,123.0,110.0,Vilar Performing Arts Center,0,68 Avondale Lane,Beaver Creek,CO,81620,1573
1203,2019-04-01T16:03:50,2019-08-24T20:00:00,True,4803641,0.0,0.0,Highly Suspect with Slothrust (16+),https://seatgeek.com/highly-suspect-with-slothrust-16-tickets/denver-colorado-mission-ballroom-2019-08-24-8-pm/concert/4803641,17.0,144.0,93.0,67.0,Mission Ballroom,0,4100 Wynkoop Street,Denver,CO,80216,467142
1204,2019-05-15T16:08:52,2019-08-24T20:30:00,False,4866061,0.507,0.414,Kessel Run with Photon,https://seatgeek.com/kessel-run-with-photon-tickets/boulder-colorado-fox-theatre-2019-08-24-8-30-pm/concert/4866061,8.0,102.0,64.0,36.0,Fox Theatre,0,1135 13th Street,Boulder,CO,80302,1261
1205,2019-06-05T16:05:48,2019-08-24T20:30:00,False,4886025,0.0,0.0,New Orleans Suspects with Cris Jacobs Band (16+),https://seatgeek.com/new-orleans-suspects-with-cris-jacobs-band-16-tickets/denver-colorado-cervantes-other-side-2019-08-24-8-30-pm/concert/4886025,,,,,Cervantes' Other Side,0,2637 Welton St.,Denver,CO,80205,7869
1206,2019-06-08T16:06:23,2019-08-24T21:00:00,True,4889065,0.0,0.0,Aaron Cohen (18+),https://seatgeek.com/aaron-cohen-18-tickets/denver-colorado-lost-lake-lounge-2019-08-24-9-pm/concert/4889065,,,,,Lost Lake Lounge,0,3602 E. Colfax Ave.,Denver,CO,80206,17381
1207,2019-07-03T16:15:31,2019-08-24T21:00:00,False,4915347,0.566,0.477,Stephen Marley,https://seatgeek.com/stephen-marley-tickets/aspen-colorado-belly-up-aspen-2019-08-24-9-pm/concert/4915347,,,,,Belly Up Aspen,0,450 S Galena St,Aspen,CO,81611,276
1208,2019-08-04T16:02:35,2019-08-24T21:00:00,True,4951175,0.0,0.0,EL Yaki,https://seatgeek.com/el-yaki-tickets/aurora-colorado-stampede-2019-08-24-9-pm/concert/4951175,,,,,Stampede,0,2430 South Havana Street,Aurora,CO,80014,104744
1209,2019-07-05T16:01:43,2019-08-24T21:00:00,True,4922308,0.446,0.408,Bass Physics with Cofresi (16+),https://seatgeek.com/bass-physics-with-cofresi-16-tickets/denver-colorado-cervantes-2019-08-24-9-pm/concert/4922308,,,,,Cervantes,0,2637 Welton Street,Denver,CO,80205,1537
1210,2019-07-19T16:06:09,2019-08-24T21:00:00,False,4931574,0.0,0.0,Truth (18+),https://seatgeek.com/truth-18-tickets/denver-colorado-the-black-box-7-2019-08-24-9-pm/concert/4931574,,,,,The Black Box,0,314 E 13th Ave,Denver,CO,80203,46013
1211,2019-06-28T16:07:44,2019-08-24T21:00:00,True,4912457,0.0,0.0,DJ Mustard,https://seatgeek.com/dj-mustard-tickets/denver-colorado-temple-nightclub-denver-2019-08-24-9-pm/concert/4912457,,,,,Temple Nightclub Denver,0,1136 Broadway,Denver,CO,80203,436408
1212,2018-11-15T16:11:47,2019-08-08T19:00:00,False,4637451,0.695,0.644,Jon Bellion with Marc E. Bassy,https://seatgeek.com/jon-bellion-with-marc-e-bassy-tickets/uncasville-connecticut-mohegan-sun-arena-2019-08-08-7-pm/concert/4637451,16.0,79.0,74.0,51.0,Mohegan Sun Arena,0,1 Mohegan Sun Blvd,Uncasville,CT,06382,92
1213,2019-02-22T20:55:14,2019-08-08T19:30:00,False,4757447,0.0,0.0,Tesla,https://seatgeek.com/tesla-tickets/mashantucket-connecticut-fox-theater-at-foxwoods-resort-casino-4-2019-08-08-7-30-pm/concert/4757447,11.0,93.0,72.0,68.0,Fox Theater at Foxwoods Resort & Casino,0,601 Eddy St.,Mashantucket,CT,06365,422357
1214,2019-04-20T16:07:35,2019-08-08T20:00:00,True,4825557,0.0,0.0,Super Yamba Band,https://seatgeek.com/super-yamba-band-tickets/new-haven-connecticut-the-state-house-2019-08-08-8-pm/concert/4825557,,,,,The State House,0,310 State Street,New Haven,CT,06510,452203
1215,2019-05-02T16:07:55,2019-08-08T21:00:00,False,4849604,0.0,0.0,Baby Dynamite,https://seatgeek.com/baby-dynamite-tickets/new-haven-connecticut-cafe-nine-2019-08-08-9-pm/concert/4849604,,,,,Cafe Nine,0,250 State Street,New Haven,CT,06510,9460
1216,2019-02-22T16:09:47,2019-08-09T19:00:00,False,4756976,0.724,0.664,Why Don't We,https://seatgeek.com/why-dont-we-tickets/uncasville-connecticut-mohegan-sun-arena-2019-08-09-7-pm/concert/4756976,185.0,72.0,34.0,9.0,Mohegan Sun Arena,0,1 Mohegan Sun Blvd,Uncasville,CT,06382,92
1217,2019-05-22T16:04:15,2019-08-09T20:00:00,False,4871468,0.0,0.0,Howlin Rain with Garcia Peoples,https://seatgeek.com/howlin-rain-with-garcia-peoples-tickets/hamden-connecticut-space-ballroom-2019-08-09-8-pm/concert/4871468,1.0,68.0,68.0,68.0,Space Ballroom,0,295 Treadwell Street,Hamden,CT,06514,145802
1218,2019-05-16T16:03:43,2019-08-09T20:00:00,False,4867004,0.0,0.0,Lisa Loeb,https://seatgeek.com/lisa-loeb-tickets/norwalk-connecticut-wall-street-theater-2019-08-09-8-pm/concert/4867004,,,,,Wall Street Theater,0,71 Wall Street,Norwalk,CT,06850,143642
1219,2019-06-27T16:09:41,2019-08-09T20:00:00,True,4911055,0.0,0.0,Fleetwood Macked Live!,https://seatgeek.com/fleetwood-macked-live-tickets/stratford-connecticut-joey-c-s-boathouse-cantina-grill-2019-08-09-8-pm/concert/4911055,,,,,Joey C's Boathouse Cantina & Grill,0,955 Ferry Boulevard,Stratford,CT,06614,189625
