,displayName,id,onTourUntil
32,Dixon Avenue Basement Jams,8732209,
33,Basement Generals,2397787,
34,Basement Apes,7538924,2019-08-09
35,The Basement Beat,5533708,
36,Basement Benders,8378058,
37,Fynnie's Basement,9374684,
38,Hidden in the Basement,3149641,
39,Basement 24,9527344,
40,Songs From the Basement,7541004,
41,The World in the Basement,4551988,
42,Basement Boys,394662,
43,Jason Collett’s Basement Revue,5997674,
44,The Basement Effect,8377598,
45,Flooded Basement,2849496,
46,The Basement Revue,4920518,
47,Basement Royalty,8255728,
48,Hancock Basement,1096457,
49,The Basement Tapes,491483,
0,Frédéric François,467180,2020-06-07
1,François-Frédéric Guy,9857009,
0,Y & T,519515,2020-02-08
1,RÜFÜS DU SOL,7759619,2020-01-04
2,D-A-D,276362,2020-03-14
3,DJ CHIN-NEN,8379848,
4,SETE STAR SEPT,1033846,
5,TROIS CAFÉS GOURMANDS,9756884,2019-12-14
6,I LIKE TRAINS,8936694,2019-11-29
7,ONE OK ROCK,3018946,
8,-M-,1367596,2019-12-18
9,POLO & PAN,8544689,2019-11-17
10,THE DAMN TRUTH,710296,
11,SNAK THE RIPPER,1128300,2019-11-29
12,DJ P-JAY,5870004,
13,JE DOUBLE F,3898356,
14,DREAM STATE (UK),8429143,2019-11-02
15,DD/MM/YYYY,603967,
16,K-X-P,2447346,2019-10-18
17,DJ C.L.A. (US),8380133,
18,HEARTS LIKE LIONS,2339318,
19,NFIX & CANDICE,9236099,2019-12-20
20,GUSHI & RAFFUNK,5841409,2019-09-07
21,SANDRA DEAN BAND,8258033,
22,MV & EE,506981,2019-10-26
23,DJ INDICA JONES,791196,2019-09-07
24,VERY SPECIAL GUESTS,8301808,2019-11-09
25,DJ K-OS,976858,
26,THE ARSON PROJECT,2000124,2019-08-10
27,BACKSTREET THE BAND,9075084,
28,RAGS AND RICHES,9831079,2019-12-07
29,DIE THRILLER PFEIFEN,8574244,2019-10-02
30,ME TALK PRETTY,608952,
31,THE CANNONBALL JOHNSONS,6002569,
32,G-REX (US),9410104,2019-11-09
33,BRUNT OF IT,262782,
34,THE EDEN PROJECT,1059491,
35,OGRE YOU ASSHOLE,675089,
36,OC & VERDE,9081779,2019-11-09
37,HIGHER BROTHERS 海爾兄弟,9157914,2019-09-14
38,GOLDEN DAWN ARKESTRA,7329909,2019-08-16
39,THE CRAB APPLES,8448378,2019-09-19
40,THE SAY HIGHS,637447,
41,THE BIONIC RATS,1045615,
42,WHITE FUZZY BLOODBATH,8570869,
43,DJ RYAN RICHARDS,2347368,
44,WE ARE TWIN,7136864,
45,AF THE NAYSAYER,4335156,
46,T/O (FR),8630669,
47,+ SECRET GUEST,8291793,2019-09-15
48,PLASTIC FANTASTIC LOVER,621378,
49,PETE THA ZOUK,718554,
0,Billy Kiesel,9963264,2019-08-14
0,Andrew Duhon,1193368,2019-10-05
1,Andrew Duhon & The Lonesome Crows,2485906,
2,Andrew Duhon Trio,8901514,
0,Jen Korte,2353035,
1,Jen Korte & The Loss,824215,2019-08-15
0,Mighty Diamonds,215228,2019-09-25
1,The Legendary Mighty Diamonds,4712338,
2,The Mighty Diamonds Backed By Yellow Wall Dub Squad,2498316,
3,Just Added the Mighty Diamonds,4587393,
0,Sammy Decoster,1090429,
1,Decoster,7255044,2019-08-23
2,Paul Decoster,2881241,
0,Cristoph,8417318,2019-09-01
1,Cristoph Weiherer,8977469,
2,Karl Cristoph,8224513,
3,Kristoph,873500,
4,Cristoph Calim Reicho,10061334,
0,Delbert McClinton,356804,2019-12-07
0,Jonah Matranga,503652,2019-11-04
1,Jonah Matranga From Far,5178933,
0,Talia Keys,8427893,2019-10-26
1,Talia Keys & the Ease,8564239,
0,Girl Band,580646,2019-11-23
1,All Girl Summer Fun Band,121446,
2,Girl Pow-R Band,10014899,2019-08-11
3,Living Dolls Girl Band,7276894,
4,P.E.T. (Girl Punk band),9406579,
5,Bang Bang Band Girl,8890179,
6,GirlBand BCS,8303243,
7,one girl band,1509320,
8,Band called Girl,9063954,
9,The Girl Talk Band,3083146,
10,Just A Girl (No Doubt Tribute Band),9454809,
11,Go Girl Band,8634524,
12,All-Girl Swing Band,6995484,
13,Girl Bowie Band Ziggy Starlet,2363491,
14,Sugar And Spice - The Ultimate Girl Band Tribute Show,9318294,
15,VENUS - the all GIRL band,8381973,
16,LivingDollsGirlBand,7272049,
0,Raf Camora,4048901,2019-12-10
1,Bonez MC & RAF Camora,9068229,2019-12-06
2,Raf Camora & Bonez MC,8962089,
3,RAF Camora 2018,9371809,
4,Bonez MC & RAF Camora 2017,9385254,
5,RAF Camora 2016,9373219,
0,Chevy Chase,1008411,2019-10-06
1,chevy chase stole my wife,8845909,2019-09-06
0,Come Clean,8923189,2019-09-05
0,ross hollow,9388749,2019-08-30
0,May Erlewine,225461,2020-03-08
1,Seth Bernard and May Erlewine,4443998,
2,Daisy May Erlewine,2971381,
0,SuicideGirls: Blackheart Burlesque,8757974,2019-09-04
1,Suicide Girls,788711,2019-09-14
2,SuicideGirls,8389943,2019-10-08
3,Suicide Girls 2004,9358619,
0,Hawktail,9459849,2019-09-27
0,Shovels & Rope,981579,2019-11-06
1,Shovels,119769,
2,The Dirty Shovels,9268149,
3,Rusty Shovels,8282928,
4,"'Maggot Mass' feat. CUNTZ, TERRIBLE TRUTHS, GENTLEMEN, SEWERS (Bris) and SHOVELS",7437809,
5,shovels and ropes,8332498,
0,Vanessa Da Mata,555827,2019-10-19
1,Vanessa Da Mata Canta Tom Jobim,6997519,
0,Chely Wright,103229,2019-10-13
0,Rob Zombie,246083,2019-09-27
1,Mob Zombie,5971764,
2,Rob the Zombie,4733673,
0,Frank Carter & The Rattlesnakes,8494363,2020-12-31
1,Frank Carter,767471,2019-11-10
2,Frank Barter,9664604,
3,Frank Carter & The Rattlesnakes 2017,9387159,
0,Exit 11,575079,2019-09-19
0,Alex Lahey,8669679,2019-11-09
0,Toothgrinder,3062811,2019-10-19
0,DJ Phoenix,422927,2019-08-30
1,DJ Neon Phoenix,5549508,
2,J. Phoenix,611561,
3,DJ Simon Phoenix,2580456,
4,DJ Shane Phoenix,8493053,
5,DJ Chipper Crippled Black Phoenix,5011943,
6,I Phoenix,3086136,
7,Blackfoot Phoenix Dj Trio,5466173,
8,DJ Phoenix (Canada),9477174,
0,Bodies We've Buried,2849906,2019-09-27
0,Christina Aguilera,246366,2019-11-14
1,The Next Christina Aguilera,9149224,
2,Ampersand As Christina Aguilera,5789019,
0,Social Distortion,38906,2020-07-04
1,Jonny Two Bags (Social Distortion),8246863,
2,White Trash plays Social distortion,8280693,
3,David Hidalgo Jr. From Social Distortion,7180939,
0,Pablo Cruise,357032,2020-02-15
0,Phat Lip,9453454,2019-09-22
0,Lost in Music,8815449,2020-12-05
1,Lost Culture Music,8704748,
2,Lost Lakes Music,8923774,
0,The Red Widows,8909409,2019-09-28
0,DJ Gsquared,4910968,2019-08-10
1,DJ Msquared,1267367,
2,E-squared,4888388,
3,M.C squared™,957826,
0,Fisherman's Friends,423692,2020-03-06
1,Port Isaac's Fisherman's Friends,3125361,
0,Shakka,1333690,2019-08-31
1,Chakka,3251661,
0,The Supervillains,192424,2019-10-11
1,The Semi-supervillains,5413503,
0,Theo Von,2392493,2019-08-14
0,The Dead South,4394948,2020-04-11
1,The Dead South (CA),9711139,
0,Micky Dolenz,426979,2020-02-09
0,Joe Bonamassa,414198,2020-03-21
0,Lauren Lane,6381109,2019-10-11
0,Thundermother,5901129,2019-10-15
0,Felipe Esparza,2315214,2019-12-13
10,A-WA (IL),8721174,2019-09-07
0,Jessy J,692075,2019-09-20
1,Messy MC,875029,
2,Jazz Series 2 Jessy J,2878386,
3,Jessy (BE),10005379,
4,Ressy B,8949454,
0,Andy Dick,143317,2019-08-13
0,Revocation,1895553,2019-10-12
0,Surf 'n' Turf,8358388,2019-09-06
0,Ledisi,29915,2019-10-19
1,Ledisi Mint Condition,8136218,
2,Ledisi B.g.t.y,5427448,
3,Steve Litman Welcome Ledisi,8000253,
0,Malevolent Creation,405537,2020-01-17
0,The Foreign Resort,757771,2020-01-17
0,Cat Power,460150,2019-11-16
1,Cat Power and Dirty Delta Blues,2379896,
2,Cat Power & the Memphis Rhythm Band,2380474,
3,Cat Power (Solo),8999959,
4,"Cat Power ""Tribute",8864649,
5,Cat Power Solo @ Brooklyn Masonic Temple,7425789,
0,Luke Temple,337480,2019-09-18
1,Luke Temple of Here We Go Magic,8010208,2019-09-11
0,The Junior League,799919,2019-09-12
0,Fozzy,39889,2019-09-28
1,Mozzy,5628129,2019-08-23
2,Fozzys Hero,2361439,
3,Soil & Fozzy,5347003,
4,BeatboxFozzy,632726,
5,Cozzy,6933634,
6,Beatbox Fozzy,3296786,
7,Fozzy Ft. Chris Jericho,6966049,
8,MoEzzy,8410593,
0,Amorphis,295968,2019-11-08
1,Amorphis 2018,9375159,
2,Amorphis Finlandia,4370703,
3,Amorphis Darkside,2730081,
0,Groove International,5666619,2019-09-01
0,Tuxedo,472936,2019-08-24
1,The Tuxedo Band,4271251,
2,tuxedo gleam,6217104,
3,Tuxedo Junction,196531,
4,BLAQ Tuxedo,9215549,
5,Tuxedo Jesus,4285241,
6,Tuxedo Seagull,5630834,
7,Glass Tuxedo,6308804,
8,Burlap Tuxedo,4764983,
9,Tuxedo (DJ Set),8465883,
10,Tuxedo Buck,185173,
11,Canadian Tuxedo,1526242,
12,Tuxedo Jazzband,5977079,
13,Judge Tuxedo,3832401,
14,Tuxedo Bandido,3699821,
15,Tuxedo Tramps,7553349,
16,Skin Tuxedo,8824079,
17,Electric Tuxedo,8839184,
18,Tuxedo Jazz Orchestra,9863149,
19,Young Tuxedo Brass Band,8427443,
20,Tuxedo Big Band Fête Ses 20 Ans,3547181,
21,Tuxedo Black,8369793,
0,Cities Never Sleep,2392547,2019-10-05
0,Mariachi Sol De Mexico De Jose Hernandez,3070441,2019-12-22
1,Mariachi Del Sol De Mexico De Jose Hernandez,4366418,
0,Qreepz,8823444,2019-08-30
0,Sarah Connor,394445,2020-08-22
1,Sarah Connor Music,9414959,
2,Sarah Connor (ARG),8482758,
0,White Animals,356883,2019-10-19
0,Ume,776844,2019-10-11
1,Âme,571419,2019-10-19
2,Møme,6538089,2019-10-04
3,CALLmeKAT,1885785,
4,mLe,561667,
5,Nme,63060,
6,Per7ume,1676999,
7,Aöme,9921914,2019-10-14
8,Pme,150225,
9,Ome,106534,
10,L.m.e.,496706,
11,Cme,72581,
12,EmeT,844354,
13,R!m!e,223847,
14,I'me,46220,
15,Vme,2228246,
16,Ume & Starset,7982228,
17,Val Ume,8528649,
18,Zme,2973731,
19,Yôme,9992474,
20,Ume Radical Rollers,8155483,
0,Little Feat,160544,2019-10-27
1,Little Beat,1411399,
2,Little Feat: Hot Tuna,2324283,
3,Little Feat’s Paul Barrere,6888149,
4,COVER TO COVER // LITTLE FEAT,8048008,
5,Kyson Feat Geordie Little,5147748,
6,Little Feat’s Paul and Fred to Perform for Safety Harbor Kids,9588169,
0,Clubland,42878,2019-10-26
1,Clubland Live 2,2344008,
2,Clubland Live 3,2510681,
3,Clubland Live 4,3357211,
4,Clubland Edinburgh,2374580,
5,Clubland Detectives,8842509,
6,Clubland Djs Flipfill,2386288,
7,Clubland Live 2 at Glasgow Secc,4603828,
8,Clubland extreme hardcore,9269039,
0,Hilltop Hoods,501001,2019-12-12
0,Technophobia,351435,2019-11-03
0,Bootleg Beatles,131862,2020-06-10
1,The Bootleg Beatles with the Royal Liverpool Philharmonic Orchestra,9342759,2019-10-16
0,Telegraph Quartet,9772389,2020-04-27
0,Nathan Carter,3484056,2020-04-24
0,Royal Philharmonic Orchestra,170809,2020-06-13
1,Royal Philharmonic Concert Orchestra,547595,2019-12-01
2,Royal Liverpool Philharmonic Orchestra,252277,2020-05-06
3,Royal Stockholm Philharmonic Orchestra,354417,
5,Royal Philharmonic Concert Orchestra of London,8127503,
6,Royal Philharmonic Orchestra Symphonic Queen,7919504,
7,The Royal Philharmonic Orchestra Uk,3686196,
8,The Royal Philharmonic Orchestra-Natalie Clein,2330806,
0,A Different Thread,8984544,2019-09-04
0,Hatari,9076424,2020-04-02
1,atariSUNSHINE,7708559,
2,BONGITOHTORI & HÄTÄRI-HANK,7111369,
3,Katari,8274088,
0,Langhorne Slim,506999,2020-02-27
0,Cosmic Charlie,556818,2019-09-14
0,Salsa Masala,10066977,2019-08-10
0,Massive Wagons,4666783,2019-11-17
0,The Surfrajettes,9126849,2019-08-18
0,Vertical Horizon,486954,2019-09-20
1,Vertical Horizon Acoustic,2345867,
2,Vertical Horizon Headlining,4729083,
0,Crack the Sky,301051,2019-11-29
1,The Legendary Crack the Sky,2326801,
0,Samuel Herb,9641054,2019-11-16
0,John Power,196940,2019-11-22
1,DJ John Power,3510071,
2,John Faye Power Trip,135349,
3,Lake Saint-John Power & Paper Cie,9639249,
4,John Power Band,9052194,
5,John Showman & Tom Power,9435274,
0,Yotto,8620979,2019-12-07
1,Motto,4924508,
2,Jotto,589378,
3,Sotto,1316702,
4,Yako Yotto Yultron,9949639,2019-08-30
0,Attila,511909,2019-12-12
1,Attila the Stockbroker,295039,2019-10-10
2,Attila Vural,914113,
3,Attila Csihar,2063782,
4,The Attila Moustache,5748729,
5,Attila Fias,10036204,
6,Mátyás Attila Band,3513161,
7,Attila Viola & The Bakersfield Boys,9679934,
8,Attila the Hun,2539486,
9,Mátyás Attila,2839721,
10,Attila & Friends,8429353,
11,Attila Krang,8928674,
12,BÁRÁNY ATTILA,5786154,
13,Attila Oct 30 Gators,7164899,
14,Attila Faravelli,4811093,
15,"Stockbroker,  Attila the",8648524,
16,Attila Reißmann,9613394,
17,Attila & the Hunks,4698473,
18,Fehérvári Attila,8195153,
19,Attila Mokus,7299074,
20,Ackeejuice Rockers & Attila,7675389,
21,Attila And The Huns,88150,
22,Szekeres András és Barbaro Attila,9786714,
23,"Tükrös ensemble, Attila Mihó and his band",7761379,
24,Attila the Pun,8515793,
25,Veress Attila,6067494,
26,Mihó Attila és bandája,7745869,
0,The Honey Hounds,8768454,2019-09-07
0,Captured! By Robots,97755,2019-11-01
1,Captured By Robots at Fubar,4095976,
0,Airwolf,694136,2019-10-19
1,The Airwolf (DE),9042714,
0,Ezra Collective,7926313,2019-12-18
0,Indubious,1986932,2019-08-29
1,Indubious Returns,4792693,
2,Indubious and Gigantor,7792684,
3,Indubious Luc,7517124,
4,Indubious & Alcyon Massive,3529676,
0,The Steel Woods,8906034,2020-01-28
0,Universal Funk Orchestra,9643384,2019-08-30
0,Izzie Walsh,8682479,2019-11-01
0,The Doo Wop Project,8801514,2020-06-10
1,doo.,916748,2019-09-28
2,Doo Wop,509042,2019-10-12
3,Bonzo Dog Doo-Dah Band,45233,
4,The Doo-Wah Riders,470280,
5,Cecile Doo-kingue,4150061,
6,Yoo Doo Right,8991969,2019-09-20
7,The Doo Dads,2832836,
8,The God Damn Doo Wop Band,33811,
9,Doo Rag,494670,
10,Doo-Wop Extravaganza,2330930,
11,Marcus Doo & the Secret Family,3372711,
12,Dj Doo Wop,672020,
13,Doo-Wop Reunion,2330929,
14,Bowzers Ultimate Doo-Wop Party,2330932,
15,Papa Doo Run Run,348428,
16,Scooby Doo Live,5702074,
17,R-Doo,8517863,
18,Bowzer's Ultimate Doo Wop,2355871,
19,The Ultimate Doo Wop Show,583371,
20,Doo Doo Funk All-stars,4358363,
21,Doo Wop Spectacular,3419811,
22,Doo Crowder,3138431,
23,The Ultimate Doo Wop,3172091,
24,HooDoo Band,818222,
25,Doo The Moog,477160,
26,Voo Doo Blues,4013486,
27,The Hoo Doo Cats,4008476,
28,Doo Wah Riders,5079963,
29,Haydon HooDoo,8673929,
30,Solid Gold Doo Wop Reunion,2347202,
31,mika doo,629649,
32,A Valentine's Doo Wop,6034464,
33,Doo Wop Yule Pop,2347212,
34,Spring Doo Wop Cavalcade,3587556,
35,DooDs,867684,
36,Ezekiel Doo,9306934,2019-08-25
37,Kim Doo Soo,2435326,
38,Legends Of Doo Wop,350158,
39,Holiday Doo-Wop Celebration,2329656,
40,Marcus Doo,9217854,
41,Doofy Doo,8615099,
42,monkey doo,7057384,
43,Doo Good,7338254,
44,The Doo Doo Funk All Stars,3533486,
45,Uncle DooDad,1985923,
46,Joe Nardone's Doo Wop,7898104,
47,Makuini & The Hoo Doo Men,8033933,
48,Doo-dads,269694,
49,Voo Doo,3309951,
0,Noah Guthrie,7601349,2019-12-19
0,Dead Rider,4142356,2019-09-07
0,DJ * S.co,2216262,2019-09-02
1,DJ S. Co,4601768,
0,Azam Ali,475726,2019-08-25
1,Azam Ali and Niyaz,3996821,
2,Niyaz feat. Azam Ali,8129873,
0,Los Wemblers,9453354,2019-10-19
0,Desert Mountain Tribe,6139784,2019-10-20
0,Jeannie Seely,471382,2020-03-07
0,Drezo,6358754,2019-09-28
0,Tinariwen,340920,2019-11-15
0,Nellie McKay,381062,2020-04-06
1,Loudon Wainwright III and Nellie McKay,8595789,
0,Todd Sarvies,9257954,2019-09-27
0,Con Brio,1112819,2019-11-02
1,Trio Con Brio,103976,2019-09-25
2,Rio Con Brio,5743439,
3,Trio Con Brio Copenhagen,2310815,
4,Music Con Brio,7447129,
5,Artisti con Brio,9706599,2019-10-20
6,Son Trio,7922844,
7,Amsterdams Symphonie Orkest Con Brio,7877059,
8,Trio Con Brio Copenhagen Med Internationale Venner,8126993,
9,Amsterdams Symphonie Orkest Con Brio O.l.v. Willem De Bordes,7872974,
0,Out of System Transfer,6718724,2019-09-22
0,Flamenco Por La Vida,9389449,2019-12-28
1,Flamenco Por La Vida (at Casa Vicente,7515889,
0,Peter White's Christmas,593155,2019-12-15
0,BlackHawk,451800,2019-11-23
1,Black Hawk,187990,
2,BlackHawkDown,6380034,
0,The Matt Gilmour Band,9517709,2019-10-12
0,Overtime,165789,2019-08-17
1,Overtime Heroes,4525128,
2,Unpaid Overtime,9898899,2019-08-17
3,Overtime Hiphop,7961813,
4,Overtime Victory,4342691,
5,Workin' Overtime,9835429,
6,Overtime Boyz,9866774,
7,Overtime w/ Blue Collar Band,9180654,
0,Billy Idol,347869,2020-01-31
1,Billy Idol Aid,3988331,
2,The Last Vegas As Billy Idol,5924714,
3,Flesh for Fantasy Australian Billy Idol Tribute Show,8849599,
4,Strangelove (Depeche Mode Tribute) The Cured (The Cure Tribute) Idolized (Billy Idol Tribute),8578489,
0,Otis McDonald,8890959,2019-09-26
0,Ninho,9254109,2020-03-12
1,El Ninho,4079836,
2,Qinho,4578153,2019-12-07
3,Zinho,424563,
4,Pinho,7040074,
5,Minho,8651399,
6,NINHO NOIR,9254059,
0,Bullheadded,4297096,2019-08-17
0,Giovannie and the Hired Guns,9329594,2019-09-21
0,Puddles Pity Party,5321733,2019-12-06
0,New Parlor,10066209,2019-10-10
0,Immortal Guardian,3633736,2020-05-08
0,The Weeks,674254,2019-11-09
1,The Geeks,390271,
2,The Peeks,6314029,
3,The Reeks,9436169,
4,The Seeks,3609636,
5,The Weeks // CANCELLED,7185954,
0,Chris Duarte,366889,2019-10-16
1,Chris Duarte Group,553944,2019-10-03
2,Blues Rock Virtuoso Chris Duarte,7566309,
0,Witty Tarbox,9676574,2019-10-04
0,Prince Fox,8308193,2019-08-24
1,Han Followed By Prince Fox,7768464,
0,Solarstone,292981,2019-11-22
1,Pure Trance Ft. Solarstone,7423989,
0,Tides From Nebula,2526806,2019-12-08
0,Bobby Watson,208093,2020-05-02
1,Saxophonist Bobby Watson Quartet,7327304,
2,Bobby Watson - Country,10066370,2019-08-08
0,Tone-Lōc,38895,2019-11-01
1,Tone Loc,9049094,
2,Rob Base & Tone Loc,6974619,
0,The Fab Faux,365584,2019-11-23
0,Pick Pocket,2086172,2019-09-21
0,Pip Blom,6954144,2019-11-24
1,PIP BLOM (NL),9994029,
0,Red Stone Souls,5860579,2019-10-12
1,Red Stone Souls Live at the Foundry,7560079,
0,Dee Jay Silver,5528073,2019-10-19
0,Diminished Men,851373,2019-08-09
0,Shiba San,7569989,2019-11-16
1,Shiba San   2018,9371164,
0,Candyboy,9831369,2019-09-17
0,2Libras,9621274,2019-10-27
